Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Global conversations,http://blogs.fco.gov.uk/,Foreign & Commonwealth Office,No,2016
Government Communications Headquarters,www.gchq.gov.uk/Pages/homepage.aspx,Foreign & Commonwealth Office,Yes,2016
Great Britain China Centre,www.gbcc.org.uk/,Foreign & Commonwealth Office,Yes,2016
Marshall Aid Commemoration Commission,www.marshallscholarship.org/,Foreign & Commonwealth Office,Yes,2016
Secret Intelligence Service,www.sis.gov.uk/,Foreign & Commonwealth Office,Yes,2016
Westminster Foundation for Democracy,www.wfd.org,Foreign & Commonwealth Office,Yes,2016
Wilton Park,www.wiltonpark.org.uk,Foreign & Commonwealth Office,Yes,2016
Centre for the Protection of National Infrastructure (CPNI),www.cpni.gov.uk/,Home Office,Yes,2016
Cyber Streetwise,www.cyberstreetwise.com,Home Office,Yes,2016
Daniel Morgan Independent panel,www.danielmorganpanel.independent.gov.uk/,Home Office,Yes,2016
Disrespect nobody,www.disrespectnobody.co.uk,Home Office,No,2016
Educate Against Hate,http://educateagainsthate.com/,Home Office,No,2016
Gangmasters Licensing Authority,www.gla.gov.uk,Home Office,Yes,2016
HMGCC - Her Majesty's Government Communications Centre,www.hmgcc.gov.uk/,Home Office,Yes,2016
Hillsborough Independent Panel,http://hillsborough.independent.gov.uk,Home Office,Yes,2016
Independent Chief Inspector of Borders and Immigration,http://icinspector.independent.gov.uk/,Home Office,No,2016
Independent Inquiry into Child Sexual Abuse,www.iicsa.org.uk/,Home Office,Yes,2016
Independent Police Complaint Commission,www.ipcc.gov.uk,Home Office,Yes,2016
Independent Reviewer of Terrorism Legislation,http://terrorismlegislationreviewer.independent.gov.uk/,Home Office,Yes,2016
Investigatory Powers Tribunal,www.ipt-uk.com/,Home Office,Yes,2016
MI5 (home office),www.mi5.gov.uk/,Home Office,Yes,2016
National Crime Agency,www.nationalcrimeagency.gov.uk/,Home Office,Yes,2016
Office of Surveillance Commissioners,http://osc.independent.gov.uk,Home Office,Yes,2016
Security Industry Authority,www.sia.homeoffice.gov.uk/Pages/home.aspx,Home Office,Yes,2016
Think U Know,www.thinkuknow.co.uk,Home Office,Yes,2016
WARP,www.warp.gov.uk/,Home Office,Yes,2016
HMRC Digital Pilots,http://hmrcdigitalpilots.com/,HM Revenue & Customs,No,2016
The AdjudicatorÕs Office,www.adjudicators.gov.uk,HM Revenue & Customs,Yes,2016
Crown Estate,www.thecrownestate.co.uk/,HM Treasury,Yes,2016
Financial Conduct Authority,www.fca.org.uk/,HM Treasury,No,2016
Financial Services Authority,www.fsa.gov.uk/,HM Treasury,No,2016
Financial Services Compensation Scheme,www.fscs.org.uk/,HM Treasury,Yes,2016
HM Treasury Careers,www.hmtreasurycareers.com/,HM Treasury,No,2016
NS&I,www.nsandi.com/,HM Treasury,Yes,2016
Office for Budget Responsibility,http://budgetresponsibility.independent.gov.uk/,HM Treasury,Yes,2016
Office of Fair Trading,www2.crw.gov.uk/pr/Default.aspx,HM Treasury,No,2016
Office of Tax Simplification blog,www.taxsimplificationblog.wordpress.com/,HM Treasury,No,2016
The Office of the Complaints Commissioner,http://fscc.gov.uk/,HM Treasury,No,2016
The Royal Mint,www.royalmint.com,HM Treasury,Yes,2016
UK Asset Resolution,www.ukar.co.uk,HM Treasury,No,2016
UK Financial Investments Limited,www.ukfi.gov.uk,HMT,No,2016
Admiralty,www.admiralty.co.uk/,Ministry of Defence,Yes,2016
Armed Forces Day,www.armedforcesday.org.uk/,Ministry of Defence,Yes,2016
Army,www.army.mod.uk/,Ministry of Defence,Yes,2016
British Forces Germany,www.bfgnet.de,Ministry of Defence,Yes,2016
Defence Academy,www.da.mod.uk,Ministry of Defence,Yes,2016
Defence Contracts Online,www.contracts.mod.uk,Ministry of Defence,No,2016
"Defence, Press and Broadcasting Advisory Committee",www.dnotice.org.uk,Ministry of Defence,Yes,2016
HMNAO Astronomical Data Portal,http://astro.ukho.gov.uk/,Ministry of Defence,Yes,2016
Iraq Fatality Investigations,www.iraq-judicial-investigations.org/,Ministry of Defence,No,2016
Royal Navy,www.royalnavy.mod.uk/,Ministry of Defence,Yes,2016
Service Complaints Commissioner (SCC),http://armedforcescomplaints.independent.gov.uk,Ministry of Defence,Yes,2016
Royal Air Force,www.raf.mod.uk/,Ministry of Defence,Yes,2016
Service Prosecuting Authority,http://spa.independent.gov.uk,Ministry of Defence,Yes,2016
The Career Transition Partnership (CTP),www.ctp.org.uk,Ministry of Defence,Yes,2016
UK Hydrographic Office,www.ukho.gov.uk,Ministry of Defence,Yes,2016
Children & Family Court Advisory and Support Service,www.cafcass.gov.uk,Ministry of Justice,Yes,2016
Criminal Cases Review Commission,www.ccrc.gov.uk,Ministry of Justice,Yes,2016
Hillsborough Inquests,http://hillsboroughinquests.independent.gov.uk/,Ministry of Justice,Yes,2016
Independent Advisory Panel on Deaths in Custody,http://iapdeathsincustody.independent.gov.uk/,Ministry of Justice,Yes,2016
"Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms",www.imb.org.uk/,Ministry of Justice,Yes,2016
Information Commissioner's Office,www.ico.org.uk,Ministry of Justice,Yes,2016
Judicial Appointments Commission,http://jac.judiciary.gov.uk/,Ministry of Justice,Yes,2016
Judicial Conduct Investigations Office,http://judicialconduct.judiciary.gov.uk/index.htm,Ministry of Justice,Yes,2016
Judiciary,www.judiciary.gov.uk,Ministry of Justice,Yes,2016
Legal Services Board,www.legalservicesboard.org.uk/,Ministry of Justice,Yes,2016
Legal Services Consumer Panel,www.legalservicesconsumerpanel.org.uk,Ministry of Justice,Yes,2016
Legislation,www.legislation.gov.uk,Ministry of Justice,Yes,2016
Ministry of Justice,www.justice.gov.uk,Ministry of Justice,No,2016
Open Justice,http://open.justice.gov.uk,Ministry of Justice,Yes,2016
Prisons and Probation Ombudsman,www.ppo.gov.uk,Ministry of Justice,Yes,2016
Sentencing Council for England and Wales,http://sentencingcouncil.judiciary.gov.uk/,Ministry of Justice,Yes,2016
The Law Commission,www.lawcom.gov.uk/,Ministry of Justice,Yes,2016
The Legal Ombudsman,www.legalombudsman.org.uk/,Ministry of Justice,Yes,2016
The Mark Duggan Inquest,http://dugganinquest.independent.gov.uk/,Ministry of Justice,Yes,2016
The National Archives,www.nationalarchives.gov.uk,Ministry of Justice,Yes,2016
Tunisia inquests,tunisiainquests.independent.gov.uk,Ministry of Justice,Yes,2016
Victim's Commissioner,http://victimscommissioner.org.uk/,Ministry of Justice,Yes,2016
Victims' Information Service,www.victimsinformationservice.org.uk/,Ministry of Justice,Yes,2016
You Be The Judge,www.ybtj.justice.gov.uk,Ministry of Justice,No,2016
Advisory Committee on Animal Feeding stuffs,http://acaf.food.gov.uk,Food Standards Agency,Yes,2016
Advisory Committee on Novel Foods and Processes,http://acnfp.food.gov.uk/,Food Standards Agency,Yes,2016
Advisory Committee on the Microbiological Safety of Food,http://acmsf.food.gov.uk/,Food Standards Agency,Yes,2016
Britain in the world,http://britainintheworld.tumblr.com/,Other,No,2016
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",http://cot.food.gov.uk/,Food Standards Agency,Yes,2016
Food Standards Agency,www.food.gov.uk/,Food Standards Agency,Yes,2016
General Advisory Committee on Science,http://gacs.food.gov.uk/,Food Standards Agency,Yes,2016
Health and Care Professions Council,www.hpc-uk.org/,Other,No,2016
Judicial Committee of the Privy Council,http://jcpc.uk,Other,Yes,2016
Nomis - Official Labour Market Statistics,www.nomisweb.co.uk/,Other,Yes,2016
Office for National Statistics,www.ons.gov.uk,Other,Yes,2016
Prince of Wales,www.princeofwales.gov.uk,Other,Yes,2016
Royal,www.royal.gov.uk,Other,Yes,2016
The Supreme Court,www.supremecourt.uk,Independent,Yes,2016
UK Statistics Authority,www.statisticsauthority.gov.uk,Other,Yes,2016
Boundary Commission for Northern Ireland,www.boundarycommission.org.uk/,Northern Ireland Office,Yes,2016
Boundary Commission for Scotland,www.bcomm-scotland.independent.gov.uk/,Scotland Office,Yes,2016
Northern Ireland Human Rights Commission,www.nihrc.org/,Northern Ireland Office,Yes,2016
Parades Commission for Northern Ireland,www.paradescommission.org/,Northern Ireland Office,Yes,2016
Scottish Boundary Commissions,www.scottishboundaries.gov.uk,Scotland Office,Yes,2016
