Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,www.cps.gov.uk/,Attorney Generals Office,Yes,2016
Criminal Justice Inspectorates,www.justiceinspectorates.gov.uk,Attorney Generals Office,Yes,2016
Serious Fraud Office,www.sfo.gov.uk,Attorney Generals Office,Yes,2016
ACAS,www.acas.org.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
British Business Bank,www.british-business-bank.co.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
British Business Bank Investments (subsidiary of BBB plc),www.bbbinv.co.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Competition Appeal Tribunal,www.catribunal.org.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
European Consumer Centre for Services (ECCS),www.ukecc-services.net,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Export Control Organisation,http://blogs.bis.gov.uk/exportcontrol/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",No,2016
Exporting is great,www.exportingisgreat.gov.uk/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Get In. Go Far,www.getingofar.gov.uk/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Great Business (was Business in You),www.greatbusiness.gov.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
GRIP Guidance for Regulators,www.regulatorsdevelopment.info,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Growth Showcase,www.growthshowcase.com,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Independent Complaints Reviewer,www.icrev.org.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Investors In People,www.investorsinpeople.co.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Knowledge transfer Network,www.ktn-uk.co.uk/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",No,2016
Local Investment Showcase,www.localinvestuk.com,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Manufacturing Advisory Service,www.mas.berr.gov.uk/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",No,2016
Met Office,www.metoffice.gov.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
National Careers Service,https://nationalcareersservice.direct.gov.uk/Pages/Home.aspx,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Office for Fair Access,www.offa.org.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Student Loan Repayment,www.studentloanrepayment.co.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Student Loans Company,www.slc.co.uk,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Tim Peake - Principia Mission,https://principia.org.uk/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
UK Green Investment Bank,www.greeninvestmentbank.com,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
UKTI - Open to Export,www.opentoexport.com,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
"UK European Consumer Centre (UK ECC)","www.ukecc.net","Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Wave Hub,www.wavehub.co.uk/,"Department for Business, Energy & Industrial Strategy (Formerly BIS)",Yes,2016
Committee on Climate Change,www.theccc.org.uk/,"Department for Business, Energy & Industrial Strategy (Formerly DECC)",Yes,2016
EU Energy Focus,www.euenergyfocus.co.uk/,"Department for Business, Energy & Industrial Strategy (Formerly DECC)",Yes,2016
Green Deal Advisory Body,www.greendealorb.co.uk/,"Department for Business, Energy & Industrial Strategy (Formerly DECC)",Yes,2016
Ofgem,www.ofgem.gov.uk,"Department for Business, Energy & Industrial Strategy (Formerly DECC)",Yes,2016
UK Radioactive Waste Inventory,http://ukinventory.nda.gov.uk,"Department for Business, Energy & Industrial Strategy (Formerly DECC)",No,2016
Boundary Commission for England,consultation.boundarycommissionforengland.independent.gov.uk/,Cabinet Office,Yes,2016
CERT-UK,www.cert.gov.uk,Cabinet Office,Yes,2016
Civil Service Commission,http://civilservicecommission.independent.gov.uk/,Cabinet Office,Yes,2016
Commissioner for Public Appointments,http://publicappointmentscommissioner.independent.gov.uk/,Cabinet Office,Yes,2016
Cutting Red Tape,https://cutting-red-tape.cabinetoffice.gov.uk/,Cabinet Office,Yes,2016
Data,www.data.gov.uk/,Cabinet Office,Yes,2016
Detainee Enquiry,www.detaineeinquiry.org.uk/,Cabinet Office,No,2016
European Memoranda,http://europeanmemoranda.cabinetoffice.gov.uk,Cabinet Office,Yes,2016
European Referendum,euref.gov.uk,Cabinet Office,Yes,2016
First 100 days,https://engage.number10.gov.uk/first-100-days/,Cabinet Office,No,2016
Great Resources (Great Britain Campaign),www.greatbritaincampaign.com/,Cabinet Office,Yes,2016
House of Lords Appointments Commission,http://lordsappointments.independent.gov.uk/,Cabinet Office,Yes,2016
Independent,www.independent.gov.uk,Cabinet Office,Yes,2016
Intelligence and Security Committee,http://isc.independent.gov.uk/,Cabinet Office,Yes,2016
International WomenÕs Day 2013,https://engage.number10.gov.uk/international-womens-day-2013/,Cabinet Office,No,2016
International WomenÕs Day 2015,https://engage.number10.gov.uk/international-womens-day-2015/,Cabinet Office,No,2016
Iraq Inquiry,www.iraqinquiry.org.uk/,Cabinet Office,Yes,2016
Life Chances Fund,www.lifechancesfund.org.uk,Cabinet Office,No,2016
Living Wage,livingwage.gov.uk,Cabinet Office,Yes,2016
Lords Whips Office,www.lordswhips.org.uk,Cabinet Office,Yes,2016
Points of Light,pointsoflight.gov.uk,Cabinet Office,Yes,2016
Privy Council Office,http://privycouncil.independent.gov.uk/,Cabinet Office,Yes,2016
Social Investment Awards,https://socialinvestmentawards.org.uk/,Cabinet Office,Yes,2016
The Smith Commission,www.smith-commission.scot/,Cabinet Office,Yes,2016
The UK vision for the EU's digital economy,https://engage.number10.gov.uk/digital-single-market/,Cabinet Office,No,2016
Help to Buy,"http://helptobuy.gov.uk",Department for Communities and Local Government,Yes,2016
Housing Ombudsman,www.housing-ombudsman.org.uk/,Department for Communities and Local Government,Yes,2016
Leasehold Advisory Service,www.lease-advice.org,Department for Communities and Local Government,No,2016
Local Government Ombudsman,www.lgo.org.uk,Department for Communities and Local Government,Yes,2016
Neighbourhood planning,www.neighbourhoodplanning.org/,Department for Communities and Local Government,Yes,2016
Own your home,http://ownyourhome.gov.uk,Department for Communities and Local Government,Yes,2016
Planning Portal / Planning Guidance (on site),www.planningportal.gov.uk,Department for Communities and Local Government,Yes,2016
National Planning Policy Framework for England and planning practice guidance,http://planningguidance.planningportal.gov.uk/,Department for Communities and Local Government,Yes,2016
Right to Buy,"http://righttobuy.gov.uk",Department for Communities and Local Government,Yes,2016
Valuation Tribunal Service for England/Valuation Tribunal Service,www.valuationtribunal.gov.uk/,Department for Communities and Local Government,No,2016
Bikeability,https://bikeability.org.uk/,Department for Transport,Yes,2016
Go Ultra Low,www.goultralow.com/,Department for Transport,Yes,2016
Network Rail,www.networkrail.co.uk,Department for Transport,No,2016
Office of Rail Regulation,www.orr.gov.uk,Department for Transport,Yes,2016
Transport Focus,www.transportfocus.org.uk/,Department for Transport,Yes,2016
Sharp Motorcycle Safety,http://sharp.direct.gov.uk/,Department for Transport,Yes,2016
Tales of the Road,http://talesoftheroad.direct.gov.uk/,Department for Transport,No,2016
Think!,http://think.direct.gov.uk/,Department for Transport,Yes,2016
Vehicle Certification Agency,www.dft.gov.uk/vca,Department for Transport,Yes,2016
Arts Council England,www.artscouncil.org.uk/,"Department for Culture, Media & Sport",Yes,2016
BBC,www.bbc.co.uk,"Department for Culture, Media & Sport",Yes,2016
British Film Institute,www.bfi.org.uk,"Department for Culture, Media & Sport",Yes,2016
British Library (Museum),www.bl.uk,"Department for Culture, Media & Sport",Yes,2016
Connection Vouchers,www.connectionvouchers.co.uk,"Department for Culture, Media & Sport",No,2016
DCMS blog,http://dcmsblog.uk/,"Department for Culture, Media & Sport",No,2016
Digital Business Academy,http://digitalbusinessacademyuk.com/,"Department for Culture, Media & Sport",No,2016
English Heritage,www.english-heritage.org.uk,"Department for Culture, Media & Sport",Yes,2016
Future Fifty,www.futurefifty.com/index.html,"Department for Culture, Media & Sport",No,2016
Gambling Commission,www.gamblingcommission.gov.uk,"Department for Culture, Media & Sport",Yes,2016
Government Art Collection,www.gac.culture.gov.uk/,"Department for Culture, Media & Sport",Yes,2016
Heritage Lottery Fund,www.hlf.org.uk,"Department for Culture, Media & Sport",Yes,2016
National Heritage Memorial Fund,www.nhmf.org.uk/,"Department for Culture, Media & Sport",Yes,2016
National Lottery Commission,www.natlotcomm.gov.uk,"Department for Culture, Media & Sport",Yes,2016
Ofcom,www.ofcom.org.uk,"Department for Culture, Media & Sport",Yes,2016
S4C,www.s4c.co.uk,"Department for Culture, Media & Sport",Yes,2016
Sport England,www.sportengland.org/,"Department for Culture, Media & Sport",Yes,2016
Sports Grounds Safety Authority,www.safetyatsportsgrounds.org.uk,"Department for Culture, Media & Sport",Yes,2016
Tech City UK,www.techcityuk.com/#!/home,"Department for Culture, Media & Sport",Yes,2016
The Royal Parks,www.royalparks.gov.uk,"Department for Culture, Media & Sport",Yes,2016
The Theatres Trust,www.theatrestrust.org.uk/,"Department for Culture, Media & Sport",Yes,2016
UK Anti-Doping,www.ukad.org.uk,"Department for Culture, Media & Sport",Yes,2016
UK Sport,www.uksport.gov.uk,"Department for Culture, Media & Sport",Yes,2016
VisitBritain,www.visitbritain.com,"Department for Culture, Media & Sport",Yes,2016
VisitEngland,www.visitengland.com,"Department for Culture, Media & Sport",Yes,2016
Win Clean,www.wincleanuk.com,"Department for Culture, Media & Sport",No,2016
Your Great Adventure,www.yourgreatadventure.co.uk/,"Department for Culture, Media & Sport",Yes,2016
Agricultural Land Tribunal,http://archive.defra.gov.uk/foodfarm/farmmanage/alt/,"Department for Environment, Food & Rural Affairs",No,2016
AHVLA Scientific,www.ahvlascientific.com,"Department for Environment, Food & Rural Affairs",Yes,2016
Animal Health & Veterinary Laboratories Agency - ESNIP3,www.esnip3.eu,"Department for Environment, Food & Rural Affairs",Yes,2016
Animal Health & Veterinary Laboratories Agency - Flulab,www.flu-lab-net.eu,"Department for Environment, Food & Rural Affairs",Yes,2016
Biomass Energy Centre,www.biomassenergycentre.org.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Broads Authority,www.broads-authority.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Centre for Environment Fisheries and Aquaculture Science,www.cefas.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Covent Garden Market Authority,www.newcoventgardenmarket.com,"Department for Environment, Food & Rural Affairs",Yes,2016
Dartmoor National Park Authority,www.dartmoor-npa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Drinking Water Inspectorate,www.dwi.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Exmoor National Park Authority,www.exmoor-nationalpark.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Flood Forecasting Centre,www.ffc-environment-agency.metoffice.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Forestry Commission,www.forestry.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Geomatics Web Portal,www.geomatics-group.co.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
GM Inspectorate,www.gm-inspectorate.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Joint Nature Conservation Committee,http://jncc.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Lake District National Park Authority,www.lakedistrict.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
National Collection of Plant Pathogenic Bacteria,www.ncppb.com/,"Department for Environment, Food & Rural Affairs",Yes,2016
National Forest Company,www.nationalforest.org,"Department for Environment, Food & Rural Affairs",Yes,2016
National Laboratory Service,www.natlabs.co.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
National Parks Authority,www.nationalparks.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
New Forest National Park Authority,www.newforestnpa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Non-Native Species Secretariat (GB),http://nonnativespecies.defra.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
North York Moors National Park,www.northyorkmoors.org.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Ofwat (Water Services Regulation Authority),www.ofwat.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Royal Botanic Gardens Kew,www.kew.org/,"Department for Environment, Food & Rural Affairs",Yes,2016
The Water Technology List,www.watertechnologylist.co.uk,"Department for Environment, Food & Rural Affairs",No,2016
TSE European Union Reference Laboratory,www.tse-lab-net.eu/,"Department for Environment, Food & Rural Affairs",No,2016
TSE-LAB-NET,http://forums.tse-lab-net.eu/,"Department for Environment, Food & Rural Affairs",No,2016
Get Into Teaching,https://getintoteaching.education.gov.uk/,Department for Education,Yes,2016
Equality and Human Rights Commission,www.equalityhumanrights.com/,Department for Education,Yes,2016
Office of the Children's Commissioner,www.childrenscommissioner.gov.uk,Department for Education,Yes,2016
Independent Commission for Aid Impact,http://icai.independent.gov.uk/,Department for International Development,Yes,2016
Supporting Syria and the Region,www.supportingsyria2016.com,Department for International Development,Yes,2016
The Youth Summit,www.theyouthsummit.org/,Department for International Development,Yes,2016
Accelerated Access Review,https://engage.dh.gov.uk/acceleratedaccess/,Department of Health,No,2016
CAN Parent,www.canparent.org.uk/,Department of Health,Yes,2016
Care Quality Commission,www.cqc.org.uk/,Department of Health,Yes,2016
Child and Maternal Health Observatory (ChiMat),www.chimat.org.uk/,Department of Health/Public Health England,No,2016
e-BUG,www.e-bug.eu/,Department of Health/Public Health England,No,2016
Health Protection Agency Radiation Protection Services,www.phe-protectionservices.org.uk/,Department of Health/Public Health England,Yes,2016
Healthwatch England,www.healthwatch.co.uk,Department of Health,Yes,2016
HPACultures,www.hpacultures.org.uk/,Department of Health/Public Health England,Yes,2016
Human Fertilisation and Eymbryology Authority,www.hfea.gov.uk,Department of Health,Yes,2016
Human Tissue Authority,www.humantissueauthority.gov.uk,Department of Health,Yes,2016
National Institute for Clincial Excellence,www.nice.org.uk/,Department of Health,Yes,2016
NHS Litigation Authority,www.nhsla.com/home.htm,Department of Health,Yes,2016
Professional Standards Authority,www.professionalstandards.org.uk/,Department of Health (Independent Regulator,No,2016
Talk To Frank,www.talktofrank.com/,Department of Health,Yes,2016
Tips for finding MHRA content on GOV.UK,https://mhratips.pgtb.me/mVPN7S,Department of Health,No,2016
UK Radon,www.ukradon.org/,Department of Health/Public Health England,Yes,2016
Child Maintenance Options,www.cmoptions.org,Department for Work and Pensions,Yes,2016
Health and Safety Executive,www.hse.gov.uk,Department for Work and Pensions,Yes,2016
Health and Safety Laboratory,www.hsl.gov.uk,Department for Work and Pensions,Yes,2016
National Employment Savings Trust Corporation,www.nestpensions.org.uk,Department for Work and Pensions,Yes,2016
Pension Protection Fund,www.pensionprotectionfund.org.uk,Department for Work and Pensions,Yes,2016
Pensions Ombudsman,"www.pensions-ombudsman.org.uk/ ",Department for Work and Pensions,Yes,2016
The Pensions Advisory Service,www.pensionsadvisoryservice.org.uk,Department for Work and Pensions,Yes,2016
The Pensions Regulator,www.thepensionsregulator.gov.uk,Department for Work and Pensions,Yes,2016
Sorting out Separation,www.sortingoutseparation.org.uk/,Department for Work and Pensions,No,2016
Workplace Pension,www.workplacepensions.gov.uk/,Department for Work and Pensions,Yes,2016
CESG,www.cesg.gov.uk/,Foreign & Commonwealth Office,Yes,2016
GCHQ Careers,www.gchq-careers.co.uk/,Foreign & Commonwealth Office,Yes,2016
