Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,www.cps.gov.uk,AGO,,2014
Government Legal Service,www.gls.gov.uk,AGO,,2014
HM Crown Prosecution Service Inspectorate,www.hmcpsi.gov.uk,AGO,,2014
Serious Fraud Office,www.sfo.gov.uk,AGO,,2014
ACAS,www.acas.org.uk,BIS,,2014
ACAS Training,obs.acas.org.uk,BIS,,2014
Apprenticeships,www.apprenticeships.org.uk,BIS,,2014
British Business Bank,www.british-business-bank.co.uk,BIS,,2014
British Business Club,https://britishbusinessclub.innovateuk.org/,BIS,,2014
Capital for Enterprise,www.capitalforenterprise.gov.uk,BIS,,2014
Catapult,www.catapult.org.uk,BIS,,2014
Central Arbitration Committee,www.cac.gov.uk,BIS,,2014
Certification Office,www.certoffice.org,BIS,,2014
Companies House,www.companieshouse.gov.uk,BIS,,2014
Companies House,www.companies-house.gov.uk,BIS,,2014
Competition Appeal Tribunal,www.catribunal.org.uk,BIS,,2014
Connect,connect.innovateuk.org,BIS,,2014
Consumer Futures,www.consumerfocus.org.uk,BIS,,2014
Copyright Tribunal,www.ipo.gov.uk/ctribunal.htm,BIS,,2014
Great Business (was Business in You),www.greatbusiness.gov.uk,BIS,,2014
Growth Accelerator,www.growthaccelerator.com,BIS,,2014
HM Land Registry,www.landregistry.gov.uk,BIS,,2014
Insolvency Practitioners' Tribunal,www.bis.gov.uk/insolvency,BIS,,2014
Insolvency Rules Committee,www.insolvencydirect.bis.gov.uk/insolvencyprofessionandlegislation/irc/irc.htm,BIS,,2014
Investors In People,www.investorsinpeople.co.uk,BIS,,2014
Knowledge Transfer Partnerships,www.ktponline.org.uk/,BIS,,2014
Live Work Play Broadband,www.liveworkplaybroadband.org.uk/,BIS,,2014
Met Office,www.metoffice.gov.uk,BIS,,2014
National Careers Service,https://nationalcareersservice.direct.gov.uk/Pages/Home.aspx,BIS,,2014
News.bis.gov.uk,www.news.bis.gov.uk,BIS,,2014
Office for Fair Access,www.offa.org.uk,BIS,,2014
Ordnance Survey,www.ordnancesurvey.co.uk,BIS,,2014
Science & Society,http://scienceandsociety.bis.gov.uk/,BIS,,2014
Student Loan Repayment,www.studentloanrepayment.co.uk,BIS,,2014
Student Loans Company,www.slc.co.uk,BIS,,2014
Tech City UK,www.techcityuk.com/#!/home,BIS,,2014
Technology Strategy Board,www.innovateuk.org,BIS,,2014
The Consumer Rights Bill,http://discuss.bis.gov.uk/consumerrightsbill/,BIS,,2014
The Companies Name Tribunal,www.ipo.gov.uk/cna.htm,BIS,,2014
The Intellectual Property Office,www.ipo.gov.uk,BIS,,2014
The Qualifications and Credit Framework,http://qcfiguide.skillsfundingagency.bis.gov.uk/,BIS,,2014
UK Green Investment Bank,www.greeninvestmentbank.com,BIS,,2014
UKTI - Open to Export,www.opentoexport.com,BIS,,2014
Unistats,www.unistats.com,BIS,,2014
Wave Hub,www.wavehub.co.uk/,BIS,,2014
Advisory Committee on Business Appointments,acoba.independent.gov.uk/,CO,,2014
Big Society Awards,www.bigsocietyawards.org/,CO,,2014
Boundary Commission for England,consultation.boundarycommissionforengland.independent.gov.uk/,CO,,2014
CERT-UK,cert.gov.uk,CO,,2014
Civil Service Commission,civilservicecommission.independent.gov.uk/,CO,,2014
Civil Service Faststream,faststream.civilservice.gov.uk/,CO,,2014
Commissioner for Public Appointments,publicappointmentscommissioner.independent.gov.uk/,CO,,2014
Committee on Standards in Public Life,www.public-standards.gov.uk/,CO,,2014
Data,www.data.gov.uk/,CO,,2014
Detainee Enquiry,www.detaineeinquiry.org.uk/,CO,,2014
European Memoranda,europeanmemoranda.cabinetoffice.gov.uk,CO,,2014
Government Communication Network,https://gcn.civilservice.gov.uk/,CO,,2014
GOV.UK,www.gov.uk,CO/GDS,,2014
Crown Commercial Service (formerly Gov Procurement Service),gps.cabinetoffice.gov.uk/ (ogcbs.gov.uk),CO,,2014
Crown Commercial Service,http://ccs.cabinetoffice.gov.uk/,CO,,2014
HMGCC - Her Majesty's Government Communications Centre,www.hmgcc.gov.uk/,CO,,2014
House of Lords Appointments Commission,lordsappointments.independent.gov.uk/,CO,,2014
Independent,www.independent.gov.uk,CO,,2014
Intelligence and Security Committee,isc.independent.gov.uk/,CO,,2014
Iraq Inquiry,www.iraqinquiry.org.uk/,CO,,2014
Lords Whips Office,www.lordswhips.org.uk,CO,,2014
Mutuals Information Service,mutuals.cabinetoffice.gov.uk,CO,,2014
Civil Service,http://my.civilservice.gov.uk/,CO,,2014
National Citizen Service,www.ncsyes.co.uk/,CO,,2014
National Survey of Charities and Social Enterprises,www.nscsesurvey.com/,CO,,2014
Payroll Giving,http://communitylife.cabinetoffice.gov.uk/,CO,,2014
Community Life Survey,http://communitylife.cabinetoffice.gov.uk/,CO,,2014
Privy Council Office,privycouncil.independent.gov.uk/,CO,,2014
Public Appointments,publicappointments.cabinetoffice.gov.uk,CO,,2014
Red Tape Challenge,www.redtapechallenge.cabinetoffice.gov.uk/home/index/,CO,,2014
TV Fillers,http://communication.cabinetoffice.gov.uk/fillers/,CO,,2014
Audit Commission,www.auditcommission.gov.uk,DCLG,,2014
Audit Commission,www.audit-commission.gov.uk,DCLG,,2014
Homes and Communities Agency,www.homesandcommunities.co.uk/,DCLG,,2014
Housing Ombudsman,www.housing-ombudsman.org.uk/,DCLG,,2014
Infrastructure Planning Commission,infrastructure.planningportal.gov.uk/,DCLG,,2014
Infrastructure Planning Commission,infrastructure.independent.gov.uk/,DCLG,,2014
Leasehold Advisory Service,www.lease-advice.org,DCLG,,2014
Local goverment finance information for local authorities,www.local.communities.gov.uk,DCLG,,2014
Local Government Ombudsman,www.lgo.org.uk,DCLG,,2014
