Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Air Accident Investigation Branch (AAIB),http://www.aaib.gov.uk/home/index.cfm,,,2012
Advisory Conciliation and Arbitration Service,http://www.acas.org.uk/index.aspx?articleid=1461,,,2012
Appointments Commission,https://www.appointments.org.uk/,,,2012
Apprenticeships,http://www.apprenticeships.org.uk/,,,2012
Administration of Radioactive Substances Advisory Committee,http://www.arsac.org.uk/,,,2012
Arts Council England (ACE),http://www.artscouncil.org.uk/,,,2012
Attorney General,http://www.attorneygeneral.gov.uk/Pages/default.aspx,,,2012
Bona Vacantia Division of Treasury Solicitors,http://www.bonavacantia.gov.uk/output/,,,2012
British Pig Executive,http://www.bpex.org/,,,2012
British Council,http://www.britishcouncil.org/,,,2012
Businesslink,http://www.businesslink.gov.uk/bdotg/action/home?domain=www.businesslink.gov.uk,,,2012
Cabinet Office,http://www.cabinetoffice.gov.uk/,,,2012
Central Arbitration Committee,http://www.cac.gov.uk/index.aspx?articleid=2213,,,2012
Competition Appeal Tribunal,http://www.catribunal.org.uk/,,,2012
Consumer Council for Water,http://www.ccwater.org.uk/,,,2012
Certification Office for Trade Unions and Employers' Organisations,http://www.certoffice.org/,,,2012
Civil Service,http://www.civilservice.gov.uk/,,,2012
Civil Service Appeal Board,http://www.civilserviceappealboard.gov.uk/,,,2012
Committee on Medical Aspects of Radiation in the Environment (www.comare.org.uk),http://www.comare.org.uk/,,,2012
Department for Communities and Local Government,http://www.communities.gov.uk/corporate/,,,2012
Competition Commission,http://www.competition-commission.org.uk/,,,2012
Clinical Trials Toolkit,http://www.ct-toolkit.ac.uk/,,,2012
Cultural Property Advice,http://www.culturalpropertyadvice.gov.uk/,,,2012
"Department for Culture, Media and Sport (DCMS)",http://www.culture.gov.uk/,,,2012
"Defra - Department for Environment, Food and Rural Affairs",http://www.defra.gov.uk/,,,2012
Department for International Development,http://www.dfid.gov.uk/,,,2012
Department for Transport,http://www.dft.gov.uk/,,,2012
Digital Television,http://www.digitaltelevision.gov.uk/,,,2012
Defence Science and Technology Laboratory,https://www.dstl.gov.uk/,,,2012
Department for Work and Pensions ,http://www.dwp.gov.uk/,,,2012
East of England Research and Development Sub Unit,http://www.east-of-england-rdsu.org.uk/,,,2012
Enhanced Capital Allowance Scheme,http://www.eca.gov.uk/,,,2012
Environment Agency,http://www.environment-agency.gov.uk/,,,2012
Farm Animal Welfare Council (FAWC),http://www.fawc.org.uk/,,,2012
Foreign & Commonwealth Office (FCO),http://www.fco.gov.uk/en/,,,2012
FCO Services,http://www.fcoservices.gov.uk/eng/,,,2012
Fire Service College,http://www.fireservicecollege.ac.uk/fschome.aspx,,,2012
Food Standards Agency,http://www.food.gov.uk/,,,2012
Forensic Science Service Ltd,http://www.forensic.gov.uk/,,,2012
Forestry Commission,http://www.forestry.gov.uk/,,,2012
Financial Services Authority,http://www.fsa.gov.uk/,,,2012
Government Actuary's Department,http://www.gad.gov.uk/,,,2012
Gambling Commission,http://www.gamblingcommission.gov.uk/,,,2012
Great Britain-China Centre,http://www.gbcc.org.uk/,,,2012
General Social Care Council (GSCC),http://www.gscc.org.uk/Home/,,,2012
Horserace Betting Levy Board,http://www.hblb.org.uk/,,,2012
Higher Education Funding Council for England (HEFCE),http://www.hefce.ac.uk/,,,2012
Human Fertilisation & Embryology Authority (HFEA),http://www.hfea.gov.uk/,,,2012
Highways Agency,http://www.highways.gov.uk/,,,2012
HM Treasury,http://www.hm-treasury.gov.uk/,,,2012
HM Revenue & Customs,http://www.hmrc.gov.uk/index.htm,,,2012
Home Office,http://www.homeoffice.gov.uk/,,,2012
Health and Safety Executive (HSE),http://www.hse.gov.uk/,,,2012
Human Tissue Authority (HTA),http://www.hta.gov.uk/,,,2012
Information Commissioner's Office,http://www.ico.gov.uk/,,,2012
Independent Case Examiner,http://www.ind-case-exam.org.uk/,,,2012
Independent .gov,http://www.independent.gov.uk/,,,2012
Information for Local Government from Central Government ,http://www.info4local.gov.uk/,,,2012
Technology Strategy Board (TSB) (www.innovateuk.org),http://www.innovateuk.org/,,,2012
Investors in People (UK) IIP,http://www.investorsinpeople.co.uk/Pages/Home.aspx,,,2012
Independent Police Complaints Commission (IPCC),http://www.ipcc.gov.uk/en/Pages/default.aspx,,,2012
Investigatory Powers Tribunal,http://www.ipt-uk.com/,,,2012
Ministry of Justice,http://www.justice.gov.uk/,,,2012
LEASE (The Leasehold Advisory Service),http://www.lease-advice.org/,,,2012
Legal Services Commission,http://www.legalservices.gov.uk/,,,2012
Life in the UK Test,http://www.lifeintheuktest.gov.uk/,,,2012
Lowpay Commision,http://www.lowpay.gov.uk/,,,2012
London Thames Gateway Development Corporation,http://www.ltgdc.org.uk/,,,2012
Marine Accident Investigation Branch (MAIB),http://www.maib.gov.uk/home/index.cfm,,,2012
Marshall Aid Commemoration Commission,http://www.marshallscholarship.org/,,,2012
MI5 (The Security Service),https://www.mi5.gov.uk,,,2012
Ministry of Defence (MOD),http://www.mod.uk/DefenceInternet/Home/,,,2012
Money Claim online,http://www.moneyclaim.gov.uk/,,,2012
Monitor - Independent Regulator of NHS Foundation Trusts,http://www.monitor-nhsft.gov.uk/,,,2012
The National Archives,http://www.nationalarchives.gov.uk/,,,2012
National Forest Company,http://www.nationalforest.org/,,,2012
National Parks,http://www.nationalparks.gov.uk/,,,2012
National School of Government,http://www.nationalschool.gov.uk/,,,2012
National Trails,http://www.nationaltrail.co.uk/,,,2012
Natural England,http://www.naturalengland.org.uk/,,,2012
Consumer Focus (formerly National Consumer Council),http://www.consumerfocus.org.uk/,,,2012
National Biological Standards Board (NBSB),http://www.nibsc.ac.uk/,,,2012
Northern Ireland Office,http://www.nio.gov.uk/,,,2012
