Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,https://www.cps.gov.uk/,Attorney Generals Office,Yes,2018
Criminal Justice Inspectorates,http://www.justiceinspectorates.gov.uk,Attorney Generals Office,Yes,2018
Serious Fraud Office,http://www.sfo.gov.uk,Attorney Generals Office,Yes,2018
ACAS,http://www.acas.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
BEIS Consultation Hub,https://beisgovuk.citizenspace.com/,"Department for Business, Energy & Industrial Strategy",Yes,2018
British Business Bank,http://www.british-business-bank.co.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
British Business Bank Investments (subsidiary of BBB plc),http://www.bbbinv.co.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
Committee on Climate Change,http://www.theccc.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
Competition Appeal Tribunal,http://www.catribunal.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
European Consumer Centre for Services (ECCS),www.ukecc-services.net,"Department for Business, Energy & Industrial Strategy",Yes,2018
EU Energy Focus,http://www.euenergyfocus.co.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
Geological Disposal Facility Issues Register,http://rwm.nda.gov.uk/issues/introduction,"Department for Business, Energy & Industrial Strategy",No ,2018
Green Deal Oversight & Registration Body,https://gdorb.decc.gov.uk/,"Department for Business, Energy & Industrial Strategy",Yes,2018
Great Business (was Business in You),http://www.greatbusiness.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
GRIP Guidance for Regulators,www.regulatorsdevelopment.info,"Department for Business, Energy & Industrial Strategy",Yes,2018
Independent Complaints Reviewer,http://www.icrev.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
Knowledge Transfer Network,http://www.ktn-uk.co.uk,"Department for Business, Energy & Industrial Strategy",No ,2018
Met Office,http://www.metoffice.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
Office of the Small Business Commissioner,https://www.smallbusinesscommissioner.gov.uk/,"Department for Business, Energy & Industrial Strategy",Yes,2018
Ofgem,http://www.ofgem.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2018
Regulatory Policy Committee Portal,https://regulatorypolicycommittee.weebly.com/,"Department for Business, Energy & Industrial Strategy",No ,2018
