Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Lords Whips Office,http://www.lordswhips.org.uk,Cabinet Office,Yes,2017
Plan for Britain,planforbritain.gov.uk,Cabinet Office,Yes,2017
Points of Light,pointsoflight.gov.uk,Cabinet Office,Yes,2017
Prime Minister Teresa May's 100 days in office,https://engage.number10.gov.uk/pm-theresa-mays-first-100-days/,Cabinet Office,No,2017
Privy Council Office,http://privycouncil.independent.gov.uk,Cabinet Office,Yes,2017
Schools that work for everyone,https://engage.number10.gov.uk/good-school-places/,Cabinet Office,No,2017
Social Investment Awards,https://socialinvestmentawards.org.uk,Cabinet Office,Yes,2017
The Smith Commission,http://www.smith-commission.scot,Cabinet Office,Yes,2017
Help to Buy,"http://helptobuy.gov.uk",Department for Communities and Local Government,Yes,2017
Housing Ombudsman,http://www.housing-ombudsman.org.uk,Department for Communities and Local Government,Yes,2017
Leasehold Advisory Service,http://www.lease-advice.org,Department for Communities and Local Government,Yes,2017
Local Government Ombudsman,http://www.lgo.org.uk,Department for Communities and Local Government,Yes,2017
Neighbourhood planning,http://www.neighbourhoodplanning.org,Department for Communities and Local Government,Yes,2017
Own your home,http://ownyourhome.gov.uk,Department for Communities and Local Government,Yes,2017
Right to Buy,http://righttobuy.gov.uk,Department for Communities and Local Government,Yes,2017
Valuation Tribunal Service for England/Valuation Tribunal Service,http://www.valuationtribunal.gov.uk,Department for Communities and Local Government,No,2017
Bikeability ,https://bikeability.org.uk/,Department for Transport,Yes,2017
Go Ultra Low,https://www.goultralow.com/,Department for Transport,Yes,2017
Network Rail,http://www.networkrail.co.uk,Department for Transport,No,2017
Office of Rail Regulation,http://www.orr.gov.uk,Department for Transport,Yes,2017
Transport Focus,http://www.transportfocus.org.uk/,Department for Transport,Yes,2017
Sharp Motorcycle Safety,http://sharp.direct.gov.uk/,Department for Transport,Yes,2017
Tales of the Road,http://talesoftheroad.direct.gov.uk,Department for Transport,No,2017
Think!,http://think.direct.gov.uk/,Department for Transport,Yes,2017
Vehicle Certification Agency,http://www.dft.gov.uk/vca,Department for Transport,Yes,2017
Arts Council England,http://www.artscouncil.org.uk,"Department for Culture, Media & Sport",Yes,2017
BBC,http://www.bbc.co.uk,"Department for Culture, Media & Sport",Yes,2017
British Film Institute,www.bfi.org.uk,"Department for Culture, Media & Sport",Yes,2017
British Library (Museum),http://www.bl.uk,"Department for Culture, Media & Sport",Yes,2017
DCMS blog,http://dcmsblog.uk,"Department for Culture, Media & Sport",No,2017
Digital Business Academy,http://digitalbusinessacademyuk.com,"Department for Culture, Media & Sport",No,2017
Discuss Culture,http://www.discuss.culture.gov.uk/eaccessibility/,"Department for Culture, Media & Sport",No,2017
English Heritage,http://www.english-heritage.org.uk,"Department for Culture, Media & Sport",Yes,2017
Future Fifty ,http://www.futurefifty.com/index.html,"Department for Culture, Media & Sport",No,2017
Gambling Commission,http://www.gamblingcommission.gov.uk,"Department for Culture, Media & Sport",Yes,2017
National Heritage Memorial Fund,http://www.nhmf.org.uk,"Department for Culture, Media & Sport",Yes,2017
National Lottery Commission,http://www.natlotcomm.gov.uk,"Department for Culture, Media & Sport",Yes,2017
Ofcom,http://www.ofcom.org.uk,"Department for Culture, Media & Sport",Yes,2017
Sports Grounds Safety Authority,http://www.safetyatsportsgrounds.org.uk,"Department for Culture, Media & Sport",Yes,2017
Tech City UK,http://www.techcityuk.com/#!/home,"Department for Culture, Media & Sport",Yes,2017
The Queen's Award for Voluntary Service,https://qavs.direct.gov.uk/,"Department for Culture, Media & Sport",No,2017
The Theatres Trust,http://www.theatrestrust.org.uk,"Department for Culture, Media & Sport",Yes,2017
UK Anti-Doping,http://www.ukad.org.uk,"Department for Culture, Media & Sport",Yes,2017
UK Sport,http://www.uksport.gov.uk,"Department for Culture, Media & Sport",No,2017
VisitBritain,http://www.visitbritain.com,"Department for Culture, Media & Sport",Yes,2017
VisitEngland,http://www.visitengland.com,"Department for Culture, Media & Sport",Yes,2017
Wallace Collection,http://www.wallacecollection.org,"Department for Culture, Media & Sport",Yes,2017
Win Clean,http://www.wincleanuk.com,"Department for Culture, Media & Sport",No,2017
Exporting is great,https://www.export.great.gov.uk,Department for International Trade,No,2017
Great Britiain and Northern Ireland,great.gov.uk,Department for International Trade,Yes,2017
Invest in great,https://invest.great.gov.uk/int/,Department for International Trade,No,2017
Local Investment Showcase,http://www.localinvestuk.com,Department for International Trade,No,2017
Open to Export,http://www.opentoexport.com,Department for International Trade,No,2017
Trade is great,https://trade.great.gov.uk/,Department for International Trade,No,2017
AHVLA Scientific,http://www.ahvlascientific.com,"Department for Environment, Food & Rural Affairs",Yes,2017
Animal Health & Veterinary Laboratories Agency - Flulab,http://www.flu-lab-net.eu,"Department for Environment, Food & Rural Affairs",Yes,2017
Broads Authority,http://www.broads-authority.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Covent Garden Market Authority,http://www.newcoventgardenmarket.com,"Department for Environment, Food & Rural Affairs",Yes,2017
Dartmoor National Park Authority,http://www.dartmoor-npa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Drinking Water Inspectorate,http://www.dwi.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Exmoor National Park Authority,http://www.exmoor-nationalpark.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Flood Forecasting Centre,http://www.ffc-environment-agency.metoffice.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Forestry Commission,http://www.forestry.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Geomatics Web Portal,http://www.geomatics-group.co.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
GM Inspectorate,http://www.gm-inspectorate.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Joint Nature Conservation Committee,http://jncc.defra.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Lake District National Park Authority,http://www.lakedistrict.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Local Air Quality Management (LAQM) Support,https://laqm.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",No,2017
Marine Case Management System,https://marinelicensing.marinemanagement.org.uk/mmofox5/fox/live/MMO_LOGIN/login,"Department for Environment, Food & Rural Affairs",No,2017
National Collection of Plant Pathogenic Bacteria,http://www.ncppb.com,"Department for Environment, Food & Rural Affairs",Yes,2017
National Laboratory Service,http://www.natlabs.co.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
New Forest National Park Authority,http://www.newforestnpa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
North York Moors National Park,http://www.northyorkmoors.org.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Ofwat (Water Services Regulation Authority),http://www.ofwat.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2017
Open Water market,http://www.open-water.org.uk/,"Department for Environment, Food & Rural Affairs",Yes,2017
Royal Botanic Gardens Kew,http://www.kew.org,"Department for Environment, Food & Rural Affairs",Yes,2017
The NBN Atlas ,https://nbnatlas.org/,"Department for Environment, Food & Rural Affairs",Yes,2017
TSE European Union Reference Laboratory,http://www.tse-lab-net.eu,"Department for Environment, Food & Rural Affairs",No,2017
TSE-LAB-NET,http://forums.tse-lab-net.eu,"Department for Environment, Food & Rural Affairs",No,2017
Adoption Support Fund,http://www.adoptionsupportfund.co.uk,Department for Education,No,2017
Consultation Hub,https://consult.education.gov.uk ,Department for Education,No,2017
Equality and Human Rights Commission,http://www.equalityhumanrights.com/,Department for Education,Yes,2017
Employer View ,https://employerview.ofsted.gov.uk/,Department for Education,No,2017
Get In. Go Far,https://www.getingofar.gov.uk,Department for Education,Yes,2017
Get Into Teaching,https://getintoteaching.education.gov.uk,Department for Education,Yes,2017
Graduate Talent Pool ,https://graduatetalentpoolsearch.direct.gov.uk/gtp/index,Department for Education,Yes,2017
Investors In People,http://www.investorsinpeople.co.uk,Department for Education,Yes,2017
Key to success,https://www.keytosuccess.education.gov.uk/cgi-bin/schools/index,Department for Education,No,2017
LocatED	,www.located.co.uk,Department for Education,Yes,2017
National Careers Service,https://nationalcareersservice.direct.gov.uk/Pages/Home.aspx,Department for Education,Yes,2017
Office for Fair Access,http://www.offa.org.uk,Department for Education,Yes,2017
Office of the Children's Commissioner,http://www.childrenscommissioner.gov.uk,Department for Education,Yes,2017
Student Loans Company,http://www.slc.co.uk,Department for Education,Yes,2017
Student Loan Repayment,http://www.studentloanrepayment.co.uk,Department for Education,Yes,2017
The Hub,https://hub.fasst.org.uk/Pages/default.aspx,Department for Education,No,2017
WomenÕs Business Council,www.womensbusinesscouncil.co.uk,Department for Education,Yes,2017
Development Tracker,https://devtracker.dfid.gov.uk,Department for International Development ,Yes,2017
Extractives Hub,Extractiveshub.org,Department for International Development ,Yes,2017
Independent Commission for Aid Impact,http://icai.independent.gov.uk,Department for International Development ,Yes,2017
Supporting Syria and the Region,https://www.supportingsyria2016.com,Department for International Development ,Yes,2017
The Youth Summit,http://www.theyouthsummit.org,Department for International Development ,No,2017
UK Aid Direct   ,https://ukaiddirect.org/,Department for International Development ,Yes,2017
Bristol Independence Review,http://www.thebristolreview.co.uk/,Department of Health,Yes,2017
CAN Parent,http://www.canparent.org.uk/,Department of Health,Yes,2017
Care Quality Commission,http://www.cqc.org.uk/,Department of Health,Yes,2017
Child and Maternal Health Observatory (ChiMat),http://www.chimat.org.uk/,Department of Health/Public Health England,No,2017
e-BUG,http://www.e-bug.eu/,Department of Health/Public Health England,No,2017
Gosport Independent Panel,gosportpanel.independent.gov.uk,Department of Health,No,2017
Healthcare Safety Investigation Branch,www.HSIB.org.uk,Department of Health,Yes,2017
Health Protection Agency Radiation Protection Services,https://www.phe-protectionservices.org.uk/,Department of Health/Public Health England,Yes,2017
Healthwatch England,http://www.healthwatch.co.uk,Department of Health,Yes,2017
HPA Cultures,http://www.hpacultures.org.uk/,Department of Health/Public Health England,Yes,2017
Human Fertilisation and Eymbryology Authority,http://www.hfea.gov.uk,Department of Health,Yes,2017
Human Tissue Authority,http://www.hta.gov.uk,Department of Health,Yes,2017
National Institute for Clincial Excellence,http://www.nice.org.uk/,Department of Health,Yes,2017
NHS Litigation Authority,http://www.nhsla.com/Pages/Home.aspx,Department of Health,Yes,2017
Talk To Frank,http://www.talktofrank.com/,Department of Health/Public Health England,Yes,2017
Tips for finding MHRA content on GOV.UK,https://mhratips.pgtb.me/mVPN7S,Department of Health,No,2017
UK Radon,http://www.ukradon.org/,Department of Health/Public Health England,Yes,2017
Child Maintenance Options,http://www.cmoptions.org,Department for Work and Pensions,Yes,2017
DWP Digital Careers   ,https://careers.dwp.gov.uk/,Department for Work and Pensions,Yes,2017
Health and Safety Executive,http://www.hse.gov.uk,Department for Work and Pensions,Yes,2017
Health and Safety Laboratory,http://www.hsl.gov.uk,Department for Work and Pensions,Yes,2017
National Employment Savings Trust Corporation,http://www.nestpensions.org.uk,Department for Work and Pensions,Yes,2017
Pension Protection Fund,http://www.pensionprotectionfund.org.uk,Department for Work and Pensions,Yes,2017
Pensions Ombudsman,http://www.pensions-ombudsman.org.uk/,Department for Work and Pensions,Yes,2017
Pensions Wise,www.pensionwise.gov.uk,Department for Work and Pensions,No,2017
The Pensions Advisory Service,http://www.pensionsadvisoryservice.org.uk,Department for Work and Pensions,Yes,2017
The Pensions Regulator,http://www.thepensionsregulator.gov.uk,Department for Work and Pensions,Yes,2017
Sorting out Separation,http://www.sortingoutseparation.org.uk/,Department for Work and Pensions,No,2017
Workplace Pension,http://www.workplacepensions.gov.uk/,Department for Work and Pensions,Yes,2017
Careers in British Intelligence,https://www.careersinbritishintelligence.co.uk/,Foreign & Commonwealth Office,Yes,2017
GCHQ Careers,http://www.gchq-careers.co.uk/,Foreign & Commonwealth Office,Yes,2017
Global conversations,http://blogs.fco.gov.uk/,Foreign & Commonwealth Office,No,2017
Government Communications Headquarters,http://www.gchq.gov.uk/Pages/homepage.aspx,Foreign & Commonwealth Office,Yes,2017
Marshall Aid Commemoration Commission,http://www.marshallscholarship.org/,Foreign & Commonwealth Office,Yes,2017
Secret Intelligence Service,http://www.sis.gov.uk/,Foreign & Commonwealth Office,Yes,2017
The National Cyber Security Centre,https://www.ncsc.gov.uk/,Foreign & Commonwealth Office,Yes,2017
Westminster Foundation for Democracy,http://www.wfd.org,Foreign & Commonwealth Office,Yes,2017
Wilton Park,http://www.wiltonpark.org.uk,Foreign & Commonwealth Office,Yes,2017
Centre for the Protection of National Infrastructure (CPNI),http://www.cpni.gov.uk/,Home Office,Yes,2017
Cyber Streetwise,http://www.cyberstreetwise.com,Home Office,Yes,2017
Daniel Morgan Independent panel,https://www.danielmorganpanel.independent.gov.uk/,Home Office,Yes,2017
Disrespect nobody,www.disrespectnobody.co.uk,Home Office,Yes,2017
Educate Against Hate,http://educateagainsthate.com/,Home Office,No,2017
Gangmasters Licensing Authority ,http://www.gla.gov.uk,Home Office,Yes,2017
HMGCC - Her Majesty's Government Communications Centre,http://www.hmgcc.gov.uk/,Home Office,Yes,2017
Hillsborough Independent Panel,http://hillsborough.independent.gov.uk,Home Office,Yes,2017
Identity and Passport Service,gro.gov.uk,Home Office,No,2017
Independent Chief Inspector of Borders and Immigration,http://icinspector.independent.gov.uk/,Home Office,No,2017
Independent Inquiry into Child Sexual Abuse,https://www.iicsa.org.uk/,Home Office,Yes,2017
Independent Police Complaint Commission,http://www.ipcc.gov.uk,Home Office,Yes,2017
Independent Reviewer of Terrorism Legislation,http://terrorismlegislationreviewer.independent.gov.uk/,Home Office,Yes,2017
Investigatory Powers Tribunal,http://www.ipt-uk.com/,Home Office,Yes,2017
MI5 (home office),http://www.mi5.gov.uk/,Home Office,Yes,2017
National Crime Agency,http://www.nationalcrimeagency.gov.uk/,Home Office,Yes,2017
Office of Surveillance Commissioners,http://osc.independent.gov.uk,Home Office,Yes,2017
Office of the Independent Anti-Slavery Commissioner,http://www.antislaverycommissioner.co.uk/,Home Office,Yes,2017
Police Recruitment,http://policerecruitment.homeoffice.gov.uk/,Home Office,Yes,2017
Security Industry Authority,http://www.sia.homeoffice.gov.uk/Pages/home.aspx,Home Office,Yes,2017
Think U Know,http://www.thinkuknow.co.uk,Home Office,Yes,2017
Undercover Policing Inquiry,https://www.ucpi.org.uk/,Home Office,No,2017
WARP,http://www.warp.gov.uk/,Home Office,Yes,2017
Childcare choices,https://www.childcarechoices.gov.uk/,HM Revenue & Customs,Yes,2017
HMRC Digital Pilots,http://hmrcdigitalpilots.com/,HM Revenue & Customs,No,2017
The AdjudicatorÕs Office,http://www.adjudicators.gov.uk,HM Revenue & Customs,Yes,2017
Crown Estate,http://www.thecrownestate.co.uk/,HM Treasury,Yes,2017
Financial Conduct Authority,http://www.fca.org.uk/,HM Treasury,No,2017
Financial Services Authority,http://www.fsa.gov.uk,HM Treasury,No,2017
Financial Services Compensation Scheme,http://www.fscs.org.uk/,HM Treasury,Yes,2017
HM Treasury Careers,http://www.hmtreasurycareers.co.uk/,HM Treasury,Yes,2017
National Infrastructure Commission,NIC.org.uk,HM Treasury,Yes,2017
NS&I,http://www.nsandi.com/,HM Treasury,Yes,2017
Office of Tax Simplification blog,http://www.taxsimplificationblog.wordpress.com,HM Treasury,No,2017
The Office of the Complaints Commissioner,http://fscc.gov.uk,HM Treasury,No,2017
The Royal Mint,http://www.royalmint.com,HM Treasury,Yes,2017
UK Asset Resolution,http://www.ukar.co.uk,HM Treasury,No,2017
UK Financial Investments Limited,http://www.ukfi.gov.uk,HM Treasury,No,2017
Admiralty,http://www.admiralty.co.uk/,Ministry of Defence,Yes,2017
Acquisition Safety and Environmental Management System (ASEMS) ,www.asems.mod.uk,Ministry of Defence,No,2017
Armed Forces Day,http://www.armedforcesday.org.uk/,Ministry of Defence,Yes,2017
Army,http://www.army.mod.uk/,Ministry of Defence,Yes,2017
British Forces Germany,http://www.bfgnet.de,Ministry of Defence,Yes,2017
Defence Academy,http://www.da.mod.uk,Ministry of Defence,Yes,2017
Defence Contracts Online,http://www.contracts.mod.uk,Ministry of Defence,No,2017
Defence Equipment & Support Careers Portal,http://desjobs.mod.uk,Ministry of Defence,Yes,2017
"Defence, Press and Broadcasting Advisory Committee",http://www.dnotice.org.uk,Ministry of Defence,Yes,2017
HMNAO Astronomical Data Portal,http://astro.ukho.gov.uk/,Ministry of Defence,Yes,2017
Iraq Fatality Investigations,http://www.iraq-judicial-investigations.org/,Ministry of Defence,No,2017
Royal Navy,http://www.royalnavy.mod.uk/,Ministry of Defence,Yes,2017
Service Complaints Commissioner (SCC),http://armedforcescomplaints.independent.gov.uk,Ministry of Defence,Yes,2017
Royal Air Force,http://www.raf.mod.uk/,Ministry of Defence,Yes,2017
Service Prosecuting Authority,http://spa.independent.gov.uk,Ministry of Defence,Yes,2017
The Career Transition Partnership (CTP),http://www.ctp.org.uk,Ministry of Defence,Yes,2017
UK Hydrographic Office,http://www.ukho.gov.uk,Ministry of Defence,Yes,2017
Children & Family Court Advisory and Support Service,http://www.cafcass.gov.uk,Ministry of Justice,Yes,2017
Criminal Cases Review Commission,www.ccrc.gov.uk,Ministry of Justice,Yes,2017
DESIGN102,http://design102.co.uk/,Ministry of Justice,Yes,2017
Hillsborough Inquests                                                                                                                                    ,http://hillsboroughinquests.independent.gov.uk/,Ministry of Justice,Yes,2017
Independent Advisory Panel on Deaths in Custody,http://iapdeathsincustody.independent.gov.uk/,Ministry of Justice,Yes,2017
"Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms",http://www.imb.org.uk,Ministry of Justice,Yes,2017
Judicial Appointments Commission,http://jac.judiciary.gov.uk/,Ministry of Justice,Yes,2017
Judicial Conduct Investigations Office,http://judicialconduct.judiciary.gov.uk/index.htm,Ministry of Justice,Yes,2017
Judiciary,http://www.judiciary.gov.uk,Ministry of Justice,Yes,2017
Legal Services Board,http://www.legalservicesboard.org.uk/,Ministry of Justice,Yes,2017
Legal Services Consumer Panel,http://www.legalservicesconsumerpanel.org.uk,Ministry of Justice,Yes,2017
Legislation,http://www.legislation.gov.uk,Ministry of Justice,Yes,2017
Ministry of Justice,www.justice.gov.uk,Ministry of Justice,No,2017
National Offender Management Service careers,prisonandprobationjobs.gov.uk,Ministry of Justice,Yes,2017
Open Justice,http://open.justice.gov.uk,Ministry of Justice,Yes,2017
Prisons and Probation Ombudsman,http://www.ppo.gov.uk,Ministry of Justice,Yes,2017
Sentencing Council for England and Wales,http://www.sentencingcouncil.org.uk/,Ministry of Justice,Yes,2017
The Law Commission,http://www.lawcom.gov.uk/,Ministry of Justice,Yes,2017
The Legal Ombudsman,http://www.legalombudsman.org.uk/,Ministry of Justice,Yes,2017
The Mark Duggan Inquest,http://dugganinquest.independent.gov.uk/,Ministry of Justice,Yes,2017
The National Archives,http://www.nationalarchives.gov.uk,Ministry of Justice,Yes,2017
The Office for Budget Responsibility,http://budgetresponsibility.org.uk/,Ministry of Justice,Yes,2017
Tunisia inquests	,tunisiainquests.independent.gov.uk,Ministry of Justice,Yes,2017
Victim's Commissioner,http://victimscommissioner.org.uk/,Ministry of Justice,Yes,2017
Victims' Information Service,https://www.victimsinformationservice.org.uk/,Ministry of Justice,Yes,2017
You Be The Judge,http://www.ybtj.justice.gov.uk,Ministry of Justice,No,2017
Advisory Committee on Animal Feeding stuffs,http://acaf.food.gov.uk,Food Standards Agency,Yes,2017
Advisory Committee on Novel Foods and Processes,http://acnfp.food.gov.uk/,Food Standards Agency,Yes,2017
Advisory Committee on the Microbiological Safety of Food,http://acmsf.food.gov.uk/,Food Standards Agency,Yes,2017
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",http://cot.food.gov.uk/,Food Standards Agency,Yes,2017
Food Standards Agency,http://www.food.gov.uk/,Food Standards Agency,Yes,2017
General Advisory Committee on Science,http://gacs.food.gov.uk/,Food Standards Agency,Yes,2017
Health and Care Professions Council,http://www.hpc-uk.org/,Other,No,2017
Judicial Committee of the Privy Council,http://jcpc.uk,Other,Yes,2017
Nomis - Official Labour Market Statistics,http://www.nomisweb.co.uk/,Other,Yes,2017
Office for National Statistics,http://www.ons.gov.uk,Other,Yes,2017
Prince of Wales,http://www.princeofwales.gov.uk,Other,Yes,2017
Royal,http://www.royal.gov.uk,Other,Yes,2017
The Supreme Court,http://www.supremecourt.uk,Other,Yes,2017
UK Statistics Authority,http://www.statisticsauthority.gov.uk,Other,Yes,2017
visual.ONS,http://visual.ons.gov.uk/,Other,No,2017
Boundary Commission for Northern Ireland,http://www.boundarycommission.org.uk/,Northern Ireland Office,Yes,2017
Boundary Commission for Scotland ,http://www.bcomm-scotland.independent.gov.uk/,Scotland Office,Yes,2017
Northern Ireland Human Rights Commission,http://www.nihrc.org/,Northern Ireland Office,Yes,2017
Parades Commission for Northern Ireland,http://www.paradescommission.org/,Northern Ireland Office,Yes,2017
Scottish Boundary Commissions       ,http://www.scottishboundaries.gov.uk,Scotland Office,Yes,2017
