Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,http://www.cps.gov.uk,Attorney Generals Office,Yes,2017
Criminal Justice Inspectorates,http://www.justiceinspectorates.gov.uk,Attorney Generals Office,Yes,2017
Serious Fraud Office,http://www.sfo.gov.uk,Attorney Generals Office,Yes,2017
ACAS,http://www.acas.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
BIM Level 2,http://bim-level2.org/en/,"Department for Business, Energy & Industrial Strategy",No,2017
BIM Task Group,http://www.bimtaskgroup.org/,"Department for Business, Energy & Industrial Strategy",No,2017
British Business Bank,http://www.british-business-bank.co.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
British Business Bank Investments (subsidiary of BBB plc),http://www.bbbinv.co.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Committee on Climate Change,http://www.theccc.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Competition Appeal Tribunal,http://www.catribunal.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Cutting Red Tape,https://cutting-red-tape.cabinetoffice.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Digital Built Britain,http://digital-built-britain.com/,"Department for Business, Energy & Industrial Strategy",No,2017
European Consumer Centre for Services (ECCS),www.ukecc-services.net,"Department for Business, Energy & Industrial Strategy",Yes,2017
EU Energy Focus,http://www.euenergyfocus.co.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Geological Disposal Facility Issues Register,http://rwm.nda.gov.uk/issues/introduction,"Department for Business, Energy & Industrial Strategy",No,2017
Green Deal Advisory Body,http://gdorb.decc.gov.uk/,"Department for Business, Energy & Industrial Strategy",Yes,2017
Great Business (was Business in You),http://www.greatbusiness.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
GRIP Guidance for Regulators,www.regulatorsdevelopment.info,"Department for Business, Energy & Industrial Strategy",Yes,2017
Growth Showcase,http://www.growthshowcase.com,"Department for Business, Energy & Industrial Strategy",Yes,2017
Independent Complaints Reviewer,http://www.icrev.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Knowledge transfer Network,http://www.ktn-uk.co.uk,"Department for Business, Energy & Industrial Strategy",No,2017
Met Office,http://www.metoffice.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Ofgem,http://www.ofgem.gov.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
Sciencewise,www.sciencewise-erc.org.uk,"Department for Business, Energy & Industrial Strategy",No,2017
The Coal Authority,https://www2.groundstability.com/,"Department for Business, Energy & Industrial Strategy",No,2017
The UK National Atmospheric Emissions Inventory (NAEI),http://naei.defra.gov.uk/,"Department for Business, Energy & Industrial Strategy",Yes,2017
Tim Peake - Principia Mission,https://principia.org.uk,"Department for Business, Energy & Industrial Strategy",Yes,2017
UK Green Investment Bank,http://www.greeninvestmentbank.com,"Department for Business, Energy & Industrial Strategy",Yes,2017
UK European Consumer Centre (UK ECC) ,www.ukecc.net,"Department for Business, Energy & Industrial Strategy",Yes,2017
UK Radioactive Waste Inventory,http://ukinventory.nda.gov.uk,"Department for Business, Energy & Industrial Strategy",No,2017
Virus Wars,http://viruswars.co.uk/,"Department for Business, Energy & Industrial Strategy",No,2017
Boundary Commission for England,consultation.boundarycommissionforengland.independent.gov.uk/,Cabinet Office,Yes,2017
Civil Service Commission,http://civilservicecommission.independent.gov.uk,Cabinet Office,Yes,2017
Civil Service Faststream,https://www.faststream.gov.uk/,Cabinet Office,Yes,2017
Commissioner for Public Appointments,http://publicappointmentscommissioner.independent.gov.uk,Cabinet Office,No,2017
Crown Commercial Service Here to help,https://ccsheretohelp.uk/about-us/,Cabinet Office,No,2017
Data,http://www.data.gov.uk,Cabinet Office,Yes,2017
Detainee Enquiry,http://www.detaineeinquiry.org.uk,Cabinet Office,Yes,2017
European Memoranda,http://europeanmemoranda.cabinetoffice.gov.uk,Cabinet Office,Yes,2017
gov.uk,gov.uk,Cabinet Office,n/a,2017
Great Resources (Great Britain Campaign),http://www.greatbritaincampaign.com,Cabinet Office,Yes,2017
House of Lords Appointments Commission,http://lordsappointments.independent.gov.uk,Cabinet Office,Yes,2017
Independent,http://www.independent.gov.uk,Cabinet Office,Yes,2017
Intelligence and Security Committee,http://isc.independent.gov.uk,Cabinet Office,Yes,2017
Iraq Inquiry,http://www.iraqinquiry.org.uk,Cabinet Office,Yes,2017
Living Wage,livingwage.gov.uk,Cabinet Office,Yes,2017
