Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,www.cps.gov.uk,AGO,,2014
Government Legal Service,www.gls.gov.uk,AGO,,2014
HM Crown Prosecution Service Inspectorate,www.hmcpsi.gov.uk,AGO,,2014
Serious Fraud Office,www.sfo.gov.uk,AGO,,2014
ACAS,www.acas.org.uk,BIS,,2014
Apprenticeships,www.apprenticeships.org.uk,BIS,,2014
British Business Bank,www.british-business-bank.co.uk,BIS,,2014
British Business Club,https://britishbusinessclub.innovateuk.org/,BIS,,2014
Capital for Enterprise,www.capitalforenterprise.gov.uk,BIS,,2014
Catapult,www.catapult.org.uk,BIS,,2014
Central Arbitration Committee,www.cac.gov.uk,BIS,,2014
Certification Office,www.certoffice.org,BIS,,2014
Companies House,www.companieshouse.gov.uk,BIS,,2014
Companies House,www.companies-house.gov.uk,BIS,,2014
Competition Appeal Tribunal,www.catribunal.org.uk,BIS,,2014
Competition Commission,www.competition-commission.org.uk,BIS,,2014
Competition Commission,competition-commission.gov.uk,BIS,,2014
Connect,connect.innovateuk.org,BIS,,2014
Consumer Futures,www.consumerfocus.org.uk,BIS,,2014
Great Business (was Business in You),www.greatbusiness.gov.uk,BIS,,2014
Growth Accelerator,www.growthaccelerator.com,BIS,,2014
HM Land Registry,www.landregistry.gov.uk,BIS,,2014
Independent Complaints Reviewer,http://www.icrev.org.uk/,BIS,,2014
Insolvency Rules Committee,www.insolvencydirect.bis.gov.uk/insolvencyprofessionandlegislation/irc/irc.htm,BIS,,2014
Investors In People,www.investorsinpeople.co.uk,BIS,,2014
Knowledge Transfer Partnerships,www.ktponline.org.uk/,BIS,,2014
Live Work Play Broadband,www.liveworkplaybroadband.org.uk/,BIS,,2014
Manufacturing Advisory Service,"www.mymas.org/about-us",BIS,,2014
Manufacturing Advisory Service,"www.mas.bis.gov.uk/",BIS,,2014
Manufacturing Advisory Service,"www.mas-em.org.uk",BIS,,2014
Manufacturing Advisory Service,www.mas.berr.gov.uk,BIS,,2014
Met Office,www.metoffice.gov.uk,BIS,,2014
National Careers Service,https://nationalcareersservice.direct.gov.uk/Pages/Home.aspx,BIS,,2014
News.bis.gov.uk,www.news.bis.gov.uk,BIS,,2014
Office for Fair Access,www.offa.org.uk,BIS,,2014
Office of Fair Trading,www.oft.gov.uk,BIS,,2014
Ordnance Survey,www.ordnancesurvey.co.uk,BIS,,2014
Science & Society,http://scienceandsociety.bis.gov.uk/,BIS,,2014
Student Loan Repayment,www.studentloanrepayment.co.uk,BIS,,2014
Student Loans Company,www.slc.co.uk,BIS,,2014
Tech City UK,www.techcityuk.com/#!/home,BIS,,2014
Technology Strategy Board,www.innovateuk.org,BIS,,2014
The Consumer Rights Bill,http://discuss.bis.gov.uk/consumerrightsbill/,BIS,,2014
The Intellectual Property Office,www.ipo.gov.uk,BIS,,2014
UK Commission for Employment and Skills,www.ukces.org.uk,BIS,,2014
UK Commission for Employment and Skills,http://www.lmiforall.org.uk/,BIS,,2014
UK Green Investment Bank,www.greeninvestmentbank.com,BIS,,2014
UK Trade and Investment,www.ukti.gov.uk/home.html?guid=none,BIS,,2014
UKTI - Open to Export,www.opentoexport.com,BIS,,2014
Unistats,www.unistats.com,BIS,,2014
Wave Hub,www.wavehub.co.uk/,BIS,,2014
WorldSkills UK Competitions,http://worldskillsuk.apprenticeships.org.uk/,BIS,,2014
Advisory Committee on Business Appointments,acoba.independent.gov.uk/,CO,,2014
Big Society Awards,http://www.bigsocietyawards.org/,CO,,2014
Behavioural Insights Team Blog,blogs.cabinetoffice.gov.uk/behavioural-insights-team,CO,,2014
Boundary Commission for England,consultation.boundarycommissionforengland.independent.gov.uk/,CO,,2014
Boundary Commission for Wales,bcomm-wales.gov.uk/?lang=en,CO,,2014
Civil Service,www.civilservice.gov.uk/,CO,,2014
Civil Service Commission,civilservicecommission.independent.gov.uk/,CO,,2014
Civil Service Faststream,faststream.civilservice.gov.uk/,CO,,2014
Commissioner for Public Appointments,publicappointmentscommissioner.independent.gov.uk/,CO,,2014
Committee on Standards in Public Life,www.public-standards.gov.uk/,CO,,2014
Data,www.data.gov.uk/,CO,,2014
Detainee Enquiry,www.detaineeinquiry.org.uk/,CO,,2014
European Memoranda,europeanmemoranda.cabinetoffice.gov.uk,CO,,2014
GOV.UK,gov.uk,CO,,2014
Government Communication Network,https://gcn.civilservice.gov.uk/,CO,,2014
Crown Commercial Service (formerly Gov Procurement Service),gps.cabinetoffice.gov.uk/ (ogcbs.gov.uk),CO,,2014
Crown Commercial Service,http://ccs.cabinetoffice.gov.uk/,CO,,2014
HMGCC - Her Majesty's Government Communications Centre,www.hmgcc.gov.uk/,CO,,2014
House of Lords Appointments Commission,lordsappointments.independent.gov.uk/,CO,,2014
Independent,www.independent.gov.uk,CO,,2014
Intelligence and Security Committee,isc.independent.gov.uk/,CO,,2014
Iraq Inquiry,www.iraqinquiry.org.uk/,CO,,2014
Lords Whips Office,www.lordswhips.org.uk,CO,,2014
Mutuals Information Service,mutuals.cabinetoffice.gov.uk,CO,,2014
National Citizen Service,www.ncsyes.co.uk/,CO,,2014
National Survey of Charities and Social Enterprises,www.nscsesurvey.com/,CO,,2014
Payroll Giving,http://communitylife.cabinetoffice.gov.uk/,CO,,2014
Community Life Survey,http://communitylife.cabinetoffice.gov.uk/,CO,,2014
Parliamentary & Health Service Ombudsman,www.ombudsman.org.uk/,CO,,2014
Privy Council Office,privycouncil.independent.gov.uk/,CO,,2014
Public Appointments,publicappointments.cabinetoffice.gov.uk,CO,,2014
Red Tape Challenge,www.redtapechallenge.cabinetoffice.gov.uk/home/index/,CO,,2014
