Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,http://www.cps.gov.uk/,Attorney Generals Office,Yes,2016
Criminal Justice Inspectorates,http://www.justiceinspectorates.gov.uk,Attorney Generals Office,Yes,2016
Serious Fraud Office,http://www.sfo.gov.uk,Attorney Generals Office,Yes,2016
ACAS,http://www.acas.org.uk,"Department for Business, Innovation & Skills",Yes,2016
Apprenticeships,http://www.apprenticeships.gov.uk,"Department for Business, Innovation & Skills",Yes,2016
Better Regulation Delivery Office,www.regulatorsdevelopment.info,"Department for Business, Innovation & Skills",Yes,2016
British Business Bank,http://www.british-business-bank.co.uk,"Department for Business, Innovation & Skills",Yes,2016
British Business Bank Investments (subsidiary of BBB plc),http://www.bbbinv.co.uk,"Department for Business, Innovation & Skills",Yes,2016
Business Growth Service,http://www.mas.businessgrowthservice.greatbusiness.gov.uk/,"Department for Business, Innovation & Skills",No,2016
Business Growth Service,http://www.ga.businessgrowthservice.greatbusiness.gov.uk/,"Department for Business, Innovation & Skills",No,2016
Competition Appeal Tribunal,http://www.catribunal.org.uk,"Department for Business, Innovation & Skills",Yes,2016
Export Control Organisation,http://blogs.bis.gov.uk/exportcontrol/,"Department for Business, Innovation & Skills",No,2016
Exporting is great,https://www.exportingisgreat.gov.uk/,"Department for Business, Innovation & Skills",Yes,2016
Great Business (was Business in You),http://www.greatbusiness.gov.uk,"Department for Business, Innovation & Skills",Yes,2016
Independent Complaints Reviewer,http://www.icrev.org.uk/lr_index.shtml,"Department for Business, Innovation & Skills",Yes,2016
Investors In People,http://www.investorsinpeople.co.uk,"Department for Business, Innovation & Skills",Yes,2016
Knowledge transfer Network,http://www.ktn-uk.co.uk/,"Department for Business, Innovation & Skills",No,2016
Local Investment Showcase,http://www.localinvestuk.com,"Department for Business, Innovation & Skills",Yes,2016
Manufacturing Advisory Service,http://www.mas.bis.gov.uk/,"Department for Business, Innovation & Skills",No,2016
Met Office,http://www.metoffice.gov.uk,"Department for Business, Innovation & Skills",Yes,2016
Milan Expo 2015,http://www.ukpavilion2015.com,"Department for Business, Innovation & Skills",Yes,2016
National Careers Service,https://nationalcareersservice.direct.gov.uk/Pages/Home.aspx,"Department for Business, Innovation & Skills",Yes,2016
Office for Fair Access,http://www.offa.org.uk,"Department for Business, Innovation & Skills",Yes,2016
Student Loan Repayment,http://www.studentloanrepayment.co.uk,"Department for Business, Innovation & Skills",Yes,2016
Student Loans Company,http://www.slc.co.uk,"Department for Business, Innovation & Skills",Yes,2016
Tim Peake - Principia Mission,https://principia.org.uk/,"Department for Business, Innovation & Skills",Yes,2016
UK Green Investment Bank,http://www.greeninvestmentbank.com,"Department for Business, Innovation & Skills",Yes,2016
UKTI - Open to Export,http://www.opentoexport.com,"Department for Business, Innovation & Skills",Yes,2016
Wave Hub,http://www.wavehub.co.uk/,"Department for Business, Innovation & Skills",Yes,2016
Boundary Commission for England,consultation.boundarycommissionforengland.independent.gov.uk/,Cabinet Office,Yes,2016
CERT-UK,http://www.cert.gov.uk,Cabinet Office,Yes,2016
Civil Service Commission,http://civilservicecommission.independent.gov.uk/,Cabinet Office,Yes,2016
Commissioner for Public Appointments,http://publicappointmentscommissioner.independent.gov.uk/,Cabinet Office,Yes,2016
Cutting Red Tape,https://cutting-red-tape.cabinetoffice.gov.uk/,Cabinet Office,Yes,2016
Data,http://www.data.gov.uk/,Cabinet Office,Yes,2016
Detainee Enquiry,http://www.detaineeinquiry.org.uk/,Cabinet Office,No,2016
European Memoranda,http://europeanmemoranda.cabinetoffice.gov.uk,Cabinet Office,Yes,2016
European Referendum,euref.gov.uk,Cabinet Office,Yes,2016
GOV.UK,gov.uk,Cabinet Office,n/a,2016
Great Resources (Great Britain Campaign),http://www.greatbritaincampaign.com/,Cabinet Office,Yes,2016
House of Lords Appointments Commission,http://lordsappointments.independent.gov.uk/,Cabinet Office,Yes,2016
Independent,http://www.independent.gov.uk,Cabinet Office,Yes,2016
Intelligence and Security Committee,http://isc.independent.gov.uk/,Cabinet Office,Yes,2016
Iraq Inquiry,http://www.iraqinquiry.org.uk/,Cabinet Office,Yes,2016
Living Wage,livingwage.gov.uk,Cabinet Office,Yes,2016
Lords Whips Office,http://www.lordswhips.org.uk,Cabinet Office,Yes,2016
Privy Council Office,http://privycouncil.independent.gov.uk/,Cabinet Office,Yes,2016
"Social Investment Awards",https://socialinvestmentawards.org.uk/,Cabinet Office,Yes,2016
The Smith Commission,http://www.smith-commission.scot/,Cabinet Office,Yes,2016
Help to Buy,"http://helptobuy.gov.uk",Department for Communities and Local Government,Yes,2016
Housing Ombudsman,http://www.housing-ombudsman.org.uk/,Department for Communities and Local Government,Yes,2016
Local Government Ombudsman,http://www.lgo.org.uk,Department for Communities and Local Government,Yes,2016
Own your home,http://ownyourhome.gov.uk,Department for Communities and Local Government,Yes,2016
Planning Portal / Planning Guidance (on site),http://www.planningportal.gov.uk,Department for Communities and Local Government,Yes,2016
National Planning Policy Framework for England and planning practice guidance,http://planningguidance.planningportal.gov.uk/,Department for Communities and Local Government,Yes,2016
Right to Buy,"http://righttobuy.gov.uk",Department for Communities and Local Government,Yes,2016
Valuation Tribunal Service for England/Valuation Tribunal Service,http://www.valuationtribunal.gov.uk/,Department for Communities and Local Government,No,2016
Bikeability,https://bikeability.org.uk/,Department for Transport,Yes,2016
Go Ultra Low,https://www.goultralow.com/,Department for Transport,Yes,2016
Network Rail,http://www.networkrail.co.uk,Department for Transport,No,2016
Office of Rail Regulation,http://www.orr.gov.uk,Department for Transport,Yes,2016
Transport Focus,http://www.transportfocus.org.uk/,Department for Transport,Yes,2016
Sharp Motorcycle Safety,http://sharp.direct.gov.uk/,Department for Transport,Yes,2016
Tales of the Road,http://talesoftheroad.direct.gov.uk/,Department for Transport,No,2016
Think!,http://think.direct.gov.uk/,Department for Transport,Yes,2016
Vehicle Certification Agency,http://www.dft.gov.uk/vca,Department for Transport,Yes,2016
Arts Council England,http://www.artscouncil.org.uk/,"Department for Culture, Media & Sport",Yes,2016
BBC,http://www.bbc.co.uk,"Department for Culture, Media & Sport",Yes,2016
British Film Institute,www.bfi.org.uk,"Department for Culture, Media & Sport",Yes,2016
British Library (Museum),http://www.bl.uk,"Department for Culture, Media & Sport",Yes,2016
DCMS blog,http://dcmsblog.uk/,"Department for Culture, Media & Sport",No,2016
Digital Business Academy,http://digitalbusinessacademyuk.com/,"Department for Culture, Media & Sport",No,2016
English Heritage,http://www.english-heritage.org.uk,"Department for Culture, Media & Sport",Yes,2016
Equality and Human Rights Commission,http://www.equalityhumanrights.com/,"Department for Culture, Media & Sport",Yes,2016
Future Fifty,http://www.futurefifty.com/index.html,"Department for Culture, Media & Sport",No,2016
Gambling Commission,http://www.gamblingcommission.gov.uk,"Department for Culture, Media & Sport",Yes,2016
Geffrye Museum,http://www.geffrye-museum.org.uk,"Department for Culture, Media & Sport",Yes,2016
Government Art Collection,http://www.gac.culture.gov.uk/,"Department for Culture, Media & Sport",Yes,2016
Heritage Lottery Fund,http://www.hlf.org.uk,"Department for Culture, Media & Sport",Yes,2016
Imperial War Museum,http://www.iwm.org.uk/,"Department for Culture, Media & Sport",Yes,2016
Inspiring Learning,http://www.inspiringlearning.gov.uk/,"Department for Culture, Media & Sport",Yes,2016
Museum of Science and Industry in Manchester,http://www.mosi.org.uk,"Department for Culture, Media & Sport",Yes,2016
National Heritage Memorial Fund,http://www.nhmf.org.uk/,"Department for Culture, Media & Sport",Yes,2016
National Lottery Commission,http://www.natlotcomm.gov.uk,"Department for Culture, Media & Sport",Yes,2016
Ofcom,http://www.ofcom.org.uk,"Department for Culture, Media & Sport",Yes,2016
S4C,http://www.s4c.co.uk,"Department for Culture, Media & Sport",Yes,2016
Sport England,http://www.sportengland.org/,"Department for Culture, Media & Sport",Yes,2016
Sports Grounds Safety Authority,http://www.safetyatsportsgrounds.org.uk,"Department for Culture, Media & Sport",Yes,2016
Tech City UK,http://www.techcityuk.com/#!/home,"Department for Culture, Media & Sport",Yes,2016
The Royal Parks,http://www.royalparks.gov.uk,"Department for Culture, Media & Sport",Yes,2016
The Theatres Trust,http://www.theatrestrust.org.uk/,"Department for Culture, Media & Sport",Yes,2016
UK Anti-Doping,http://www.ukad.org.uk,"Department for Culture, Media & Sport",Yes,2016
UK Sport,http://www.uksport.gov.uk,"Department for Culture, Media & Sport",Yes,2016
VisitBritain,http://www.visitbritain.com,"Department for Culture, Media & Sport",Yes,2016
VisitEngland,http://www.visitengland.com,"Department for Culture, Media & Sport",Yes,2016
Win Clean,http://www.wincleanuk.com,"Department for Culture, Media & Sport",No,2016
Your Great Adventure,http://www.yourgreatadventure.co.uk/,"Department for Culture, Media & Sport",Yes,2016
Committee on Climate Change,http://www.theccc.org.uk/,Department of Energy & Climate Change,Yes,2016
EU Energy Focus,http://www.euenergyfocus.co.uk/,Department of Energy & Climate Change,Yes,2016
Green Deal Advisory Body,http://www.greendealorb.co.uk/,Department of Energy & Climate Change,Yes,2016
Greenhouse Gas Conversion Factor Repository,http://www.ukconversionfactorscarbonsmart.co.uk/,Department of Energy & Climate Change,No,2016
Nuclear Decommissioning Authority,http://www.nda.gov.uk/,Department of Energy & Climate Change,Yes,2016
Ofgem,http://www.ofgem.gov.uk,Department of Energy & Climate Change,Yes,2016
UK Radioactive Waste Inventory,http://ukinventory.nda.gov.uk,Department of Energy & Climate Change,No,2016
Agricultural Land Tribunal,http://archive.defra.gov.uk/foodfarm/farmmanage/alt/,"Department for Environment, Food & Rural Affairs",No,2016
AHVLA Scientific,http://www.ahvlascientific.com,"Department for Environment, Food & Rural Affairs",Yes,2016
Animal Health & Veterinary Laboratories Agency - ESNIP3,http://www.esnip3.eu,"Department for Environment, Food & Rural Affairs",Yes,2016
Animal Health & Veterinary Laboratories Agency - Flulab,http://www.flu-lab-net.eu,"Department for Environment, Food & Rural Affairs",Yes,2016
Biomass Energy Centre,http://www.biomassenergycentre.org.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Broads Authority,http://www.broads-authority.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Centre for Environment Fisheries and Aquaculture Science,http://www.cefas.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Covent Garden Market Authority,http://www.newcoventgardenmarket.com,"Department for Environment, Food & Rural Affairs",Yes,2016
Dartmoor National Park Authority,http://www.dartmoor-npa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Drinking Water Inspectorate,http://www.dwi.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Exmoor National Park Authority,http://www.exmoor-nationalpark.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Flood Forecasting Centre,http://www.ffc-environment-agency.metoffice.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Forestry Commission,http://www.forestry.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Geomatics Web Portal,http://www.geomatics-group.co.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
GM Inspectorate,http://www.gm-inspectorate.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Joint Nature Conservation Committee,http://jncc.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
Lake District National Park Authority,http://www.lakedistrict.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
National Collection of Plant Pathogenic Bacteria,http://www.ncppb.com/,"Department for Environment, Food & Rural Affairs",Yes,2016
National Forest Company,http://www.nationalforest.org,"Department for Environment, Food & Rural Affairs",Yes,2016
National Laboratory Service,http://www.natlabs.co.uk/,"Department for Environment, Food & Rural Affairs",Yes,2016
National Parks Authority,http://www.nationalparks.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
New Forest National Park Authority,http://www.newforestnpa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Non-Native Species Secretariat (GB),http://nonnativespecies.defra.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
North York Moors National Park,http://www.northyorkmoors.org.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Ofwat (Water Services Regulation Authority),http://www.ofwat.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2016
Royal Botanic Gardens Kew,http://www.kew.org/,"Department for Environment, Food & Rural Affairs",Yes,2016
TSE European Union Reference Laboratory,http://www.tse-lab-net.eu/,"Department for Environment, Food & Rural Affairs",No,2016
TSE-LAB-NET,http://forums.tse-lab-net.eu/,"Department for Environment, Food & Rural Affairs",No,2016
Get Into Teaching,https://getintoteaching.education.gov.uk/,Department for Education,Yes,2016
Office of the Children's Commissioner,http://www.childrenscommissioner.gov.uk,Department for Education,Yes,2016
Independent Commission for Aid Impact,http://icai.independent.gov.uk/,Department for International Development,Yes,2016
Supporting Syria and the Region,https://www.supportingsyria2016.com,Department for International Development,Yes,2016
The Youth Summit,http://www.theyouthsummit.org/,Department for International Development,Yes,2016
Accelerated Access Review,https://engage.dh.gov.uk/acceleratedaccess/,Department of Health,No,2016
CAN Parent,http://www.canparent.org.uk/,Department of Health,Yes,2016
Care Quality Commission,http://www.cqc.org.uk/,Department of Health,Yes,2016
Child and Maternal Health Observatory (ChiMat),http://www.chimat.org.uk/,Department of Health/Public Health England,No,2016
e-BUG,http://www.e-bug.eu/,Department of Health/Public Health England,No,2016
eContract,http://www.econtract.england.nhs.uk,Department of Health,No,2016
Health and Social Care Information Centre,http://www.ic.nhs.uk,Department of Health,No,2016
Health Education England,http://www.hee.nhs.uk,Department of Health,Yes,2016
Health Protection Agency Radiation Protection Services,https://www.phe-protectionservices.org.uk/,Department of Health/Public Health England,Yes,2016
Healthwatch England,http://www.healthwatch.co.uk,Department of Health,Yes,2016
HPACultures,http://www.hpacultures.org.uk/,Department of Health/Public Health England,Yes,2016
Human Fertilisation and Eymbryology Authority,http://www.hfea.gov.uk,Department of Health,Yes,2016
Human Tissue Authority,http://www.hta.gov.uk,Department of Health,Yes,2016
Human Tissue Authority,http://www.humantissueauthority.gov.uk,Department of Health,Yes,2016
myhealthlondon,http://www.myhealth.london.nhs.uk,Department of Health,Yes,2016
National Institute for Clincial Excellence,http://www.nice.org.uk/,Department of Health,Yes,2016
National Patient Safety Agency,http://www.npsa.nhs.uk/,Department of Health,Yes,2016
National Treatment Agency for Substance Misuse,http://www.nta.nhs.uk/,Department of Health,No,2016
NHS,http://www.nhs.uk,Department of Health,Yes,2016
NHS Blood and Transplant,http://www.nhsbt.nhs.uk/,Department of Health,Yes,2016
NHS Business Services Authority,http://www.nhsbsa.nhs.uk/,Department of Health,Yes,2016
NHS England,http://www.england.nhs.uk,Department of Health,No,2016
NHS Institute for Innovation and Improvement,http://www.institute.nhs.uk/,Department of Health,Yes,2016
NHS Litigation Authority,http://www.nhsla.com/home.htm,Department of Health,Yes,2016
NHS Trust Development Authority,http://www.ntda.nhs.uk/,Department of Health,Yes,2016
Shared Decision Making,http://sdm.rightcare.nhs.uk/,Department of Health,No,2016
Talk To Frank,http://www.talktofrank.com/,Department of Health,Yes,2016
Tips for finding MHRA content on GOV.UK,https://mhratips.pgtb.me/mVPN7S,Department of Health,No,2016
UK Radon,http://www.ukradon.org/,Department of Health/Public Health England,Yes,2016
Professional Standards Authority,http://www.professionalstandards.org.uk/,Department of Health (Independent Regulator,No,2016
Advisory Committee on Pesticides,http://www.pesticides.gov.uk/guidance/industries/pesticides/advisory-groups/acp,Department for Work and Pensions,Yes,2016
Child Maintenance Options,http://www.cmoptions.org,Department for Work and Pensions,Yes,2016
Health and Safety Executive,http://www.hse.gov.uk,Department for Work and Pensions,Yes,2016
Health and Safety Laboratory,http://www.hsl.gov.uk,Department for Work and Pensions,Yes,2016
National Employment Savings Trust Corporation,http://www.nestpensions.org.uk,Department for Work and Pensions,Yes,2016
Pension Protection Fund,http://www.pensionprotectionfund.org.uk,Department for Work and Pensions,Yes,2016
