Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
National Planning Policy Framework for England and planning practice guidance,http://planningguidance.planningportal.gov.uk/,Department for Communities and Local Government,Yes,2015
Right to Buy,http://righttobuy.communities.gov.uk/,Department for Communities and Local Government,Yes,2015
Valuation Tribunal Service for England/Valuation Tribunal Service,http://www.valuationtribunal.gov.uk/,Department for Communities and Local Government,No,2015
Bikeability,https://bikeability.org.uk/,Department for Transport,Yes,2015
Directly Operated Railways Limited,http://www.directlyoperatedrailways.co.uk,Department for Transport,Yes,2015
Go Ultra Low,https://www.goultralow.com/,Department for Transport,Yes,2015
Network Rail,http://www.networkrail.co.uk,Department for Transport,No,2015
Office of Rail Regulation,http://www.orr.gov.uk,Department for Transport,Yes,2015
Transport Focus,http://www.transportfocus.org.uk/,Department for Transport,Yes,2015
Sharp Motorcycle Safety,http://sharp.direct.gov.uk/,Department for Transport,Yes,2015
Standards for Highways,http://www.dft.gov.uk/ha/standards/sitemap.htm,Department for Transport,No,2015
Tales of the Road,http://talesoftheroad.direct.gov.uk/,Department for Transport,No,2015
Think!,http://think.direct.gov.uk/,Department for Transport,Yes,2015
Vehicle Certification Agency,http://www.dft.gov.uk/vca,Department for Transport,Yes,2015
Arts Council England,http://www.artscouncil.org.uk/,"Department for Culture, Media & Sport",Yes,2015
BBC,http://www.bbc.co.uk,"Department for Culture, Media & Sport",Yes,2015
British Film Institute,http://www.bfi.org.uk,"Department for Culture, Media & Sport",Yes,2015
British Library (Museum),http://www.bl.uk,"Department for Culture, Media & Sport",Yes,2015
DCMS blog,http://dcmsblog.uk/,"Department for Culture, Media & Sport",No,2015
English Heritage,http://www.english-heritage.org.uk,"Department for Culture, Media & Sport",Yes,2015
Equality and Human Rights Commission,http://www.equalityhumanrights.com/,"Department for Culture, Media & Sport",Yes,2015
Gambling Commission,http://www.gamblingcommission.gov.uk,"Department for Culture, Media & Sport",Yes,2015
Government Art Collection,http://www.gac.culture.gov.uk/,"Department for Culture, Media & Sport",Yes,2015
Heritage Lottery Fund,http://www.hlf.org.uk,"Department for Culture, Media & Sport",Yes,2015
Inspiring Learning,http://www.inspiringlearning.gov.uk/,"Department for Culture, Media & Sport",Yes,2015
National Heritage Memorial Fund,http://www.nhmf.org.uk/,"Department for Culture, Media & Sport",Yes,2015
National Lottery Commission,http://www.natlotcomm.gov.uk,"Department for Culture, Media & Sport",Yes,2015
Ofcom,http://www.ofcom.org.uk,"Department for Culture, Media & Sport",Yes,2015
S4C,http://www.s4c.co.uk,"Department for Culture, Media & Sport",Yes,2015
Sport England,http://www.sportengland.org/,"Department for Culture, Media & Sport",Yes,2015
Sports Grounds Safety Authority,http://www.safetyatsportsgrounds.org.uk,"Department for Culture, Media & Sport",Yes,2015
The Royal Parks,http://www.royalparks.gov.uk,"Department for Culture, Media & Sport",Yes,2015
The Theatres Trust,http://www.theatrestrust.org.uk/,"Department for Culture, Media & Sport",Yes,2015
UK Anti-Doping,http://www.ukad.org.uk,"Department for Culture, Media & Sport",Yes,2015
UK Sport,http://www.uksport.gov.uk,"Department for Culture, Media & Sport",Yes,2015
UK War Memorials,http://ukwarmemorials.org/,"Department for Culture, Media & Sport",No,2015
VisitBritain,http://www.visitbritain.com,"Department for Culture, Media & Sport",Yes,2015
VisitEngland,http://www.visitengland.com,"Department for Culture, Media & Sport",Yes,2015
Wallace Collection,http://www.wallacecollection.org,"Department for Culture, Media & Sport",Yes,2015
Win Clean,http://wincleanuk.com,"Department for Culture, Media & Sport",No,2015
Your Great Adventure,http://www.yourgreatadventure.co.uk/,"Department for Culture, Media & Sport",Yes,2015
Committee on Climate Change,http://www.theccc.org.uk/,Department of Energy & Climate Change,Yes,2015
EU Energy Focus,http://www.euenergyfocus.co.uk/,Department of Energy & Climate Change,Yes,2015
Green Deal Advisory Body,http://www.greendealorb.co.uk/,Department of Energy & Climate Change,Yes,2015
Greenhouse Gas Conversion Factor Repository,http://www.ukconversionfactorscarbonsmart.co.uk/,Department of Energy & Climate Change,No,2015
Nuclear Decommissioning Authority,http://www.nda.gov.uk/,Department of Energy & Climate Change,Yes,2015
Ofgem,http://www.ofgem.gov.uk,Department of Energy & Climate Change,Yes,2015
Agricultural Land Tribunal,http://archive.defra.gov.uk/foodfarm/farmmanage/alt/,"Department for Environment, Food & Rural Affairs",No,2015
AHVLA Scientific,http://www.ahvlascientific.com,"Department for Environment, Food & Rural Affairs",Yes,2015
Animal Health & Veterinary Laboratories Agency - ESNIP3,http://www.esnip3.eu,"Department for Environment, Food & Rural Affairs",Yes,2015
Animal Health & Veterinary Laboratories Agency - Flulab,http://www.flu-lab-net.eu,"Department for Environment, Food & Rural Affairs",Yes,2015
Biomass Energy Centre,http://www.biomassenergycentre.org.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
Broads Authority,http://www.broads-authority.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Centre for Environment Fisheries and Aquaculture Science,http://www.cefas.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
Covent Garden Market Authority,http://www.newcoventgardenmarket.com,"Department for Environment, Food & Rural Affairs",Yes,2015
Dartmoor National Park Authority,http://www.dartmoor-npa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Drinking Water Inspectorate,http://www.dwi.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Ecosystems Knowledge Network,http://www.naturalcapitalinitiative.org.uk/ekn/form,"Department for Environment, Food & Rural Affairs",No,2015
Exmoor National Park Authority,http://www.exmoor-nationalpark.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
Flood Forecasting Centre,http://www.ffc-environment-agency.metoffice.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Forestry Commission,http://www.forestry.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
Geomatics Web Portal,http://www.geomatics-group.co.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
GM Inspectorate,http://www.gm-inspectorate.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Joint Nature Conservation Committee,http://jncc.defra.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
Lake District National Park Authority,http://www.lakedistrict.gov.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
National Collection of Plant Pathogenic Bacteria,http://www.ncppb.com/,"Department for Environment, Food & Rural Affairs",Yes,2015
National Forest Company,http://www.nationalforest.org,"Department for Environment, Food & Rural Affairs",Yes,2015
National Laboratory Service,http://www.natlabs.co.uk/,"Department for Environment, Food & Rural Affairs",Yes,2015
National Parks Authority,http://www.nationalparks.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Natural Capital Committee,http://www.naturalcapitalcommittee.org,"Department for Environment, Food & Rural Affairs",No,2015
New Forest National Park Authority,http://www.newforestnpa.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Non-Native Species Secretariat (GB),http://nonnativespecies.defra.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
North York Moors National Park,http://www.northyorkmoors.org.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Ofwat (Water Services Regulation Authority),http://www.ofwat.gov.uk,"Department for Environment, Food & Rural Affairs",Yes,2015
Royal Botanic Gardens Kew,http://www.kew.org/,"Department for Environment, Food & Rural Affairs",Yes,2015
TSE European Union Reference Laboratory,http://www.tse-lab-net.eu/,"Department for Environment, Food & Rural Affairs",No,2015
TSE-LAB-NET,http://forums.tse-lab-net.eu/,"Department for Environment, Food & Rural Affairs",No,2015
Get Into Teaching,https://getintoteaching.education.gov.uk/,Department for Education,Yes,2015
Office of the Children's Commissioner,http://www.childrenscommissioner.gov.uk,Department for Education,Yes,2015
The Register of Regulated Qualifications,http://register.ofqual.gov.uk/,Department for Education,No,2015
Train to Teach Roadshows 2014,http://traintoteach.education.gov.uk/,Department for Education,No,2015
Troops to teachers,http://troopstoteachers.ctp.org.uk/,Department for Education,No,2015
Independent Commission for Aid Impact,http://icai.independent.gov.uk/,Department for International Development,Yes,2015
CAN Parent,http://www.canparent.org.uk/,Department of Health,Yes,2015
Care Connect (pilot),http://www.nhs.uk/careconnect,Department of Health,No,2015
Care Quality Commission,http://www.cqc.org.uk/,Department of Health,Yes,2015
Child and Maternal Health Observatory (ChiMat),http://www.chimat.org.uk/,Department of Health,No,2015
e-BUG,http://www.e-bug.eu/,Department of Health,No,2015
eContract,http://www.econtract.england.nhs.uk,Department of Health,No,2015
Health and Social Care Information Centre,http://www.ic.nhs.uk,Department of Health,No,2015
Health Education England,http://www.hee.nhs.uk,Department of Health,Yes,2015
Health Protection Agency Radiation Protection Services,https://www.phe-protectionservices.org.uk/,Department of Health,Yes,2015
Healthwatch England,http://www.healthwatch.co.uk,Department of Health,Yes,2015
HPACultures,http://www.hpacultures.org.uk/,Department of Health,Yes,2015
Human Fertilisation and Eymbryology Authority,http://www.hfea.gov.uk,Department of Health,Yes,2015
Human Tissue Authority,http://www.hta.gov.uk,Department of Health,Yes,2015
Human Tissue Authority,http://www.humantissueauthority.gov.uk,Department of Health,Yes,2015
Improving Access to Psychological Therapies,http://www.iapt.nhs.uk/,Department of Health,No,2015
Medicines and Healthcare Products Regulatory Agency,http://www.mhra.gov.uk,Department of Health,No,2015
myhealthlondon,http://www.myhealth.london.nhs.uk,Department of Health,Yes,2015
National Institute for Clincial Excellence,http://www.nice.org.uk/,Department of Health,Yes,2015
National Patient Safety Agency,http://www.npsa.nhs.uk/,Department of Health,Yes,2015
National Treatment Agency for Substance Misuse,http://www.nta.nhs.uk/,Department of Health,No,2015
NHS,http://www.nhs.uk,Department of Health,Yes,2015
NHS Blood and Transplant,http://www.nhsbt.nhs.uk/,Department of Health,Yes,2015
NHS Business Services Authority,http://www.nhsbsa.nhs.uk/,Department of Health,Yes,2015
NHS England,http://www.england.nhs.uk,Department of Health,No,2015
NHS Institute for Innovation and Improvement,http://www.institute.nhs.uk/,Department of Health,Yes,2015
NHS Litigation Authority,http://www.nhsla.com/home.htm,Department of Health,Yes,2015
NHS Trust Development Authority,http://www.ntda.nhs.uk/,Department of Health,Yes,2015
Shared Decision Making,http://sdm.rightcare.nhs.uk/,Department of Health,No,2015
Talk To Frank,http://www.talktofrank.com/,Department of Health,No,2015
Technology Strategy,http://www.technologystrategy.england.nhs.uk,Department of Health,No,2015
UK Radon,http://www.ukradon.org/,Department of Health,Yes,2015
Professional Standards Authority,http://www.professionalstandards.org.uk/,Department of Health,No,2015
Advisory Committee on Pesticides,http://www.pesticides.gov.uk/guidance/industries/pesticides/advisory-groups/acp,Department for Work and Pensions,Yes,2015
Child Maintenance Options,http://www.cmoptions.org,Department for Work and Pensions,Yes,2015
Health and Safety Executive,http://www.hse.gov.uk,Department for Work and Pensions,Yes,2015
Health and Safety Laboratory,http://www.hsl.gov.uk,Department for Work and Pensions,Yes,2015
National Employment Savings Trust Corporation,http://www.nestpensions.org.uk,Department for Work and Pensions,Yes,2015
Pension Protection Fund,http://www.pensionprotectionfund.org.uk,Department for Work and Pensions,Yes,2015
Pensions Ombudsman,"http://www.pensions-ombudsman.org.uk/",Department for Work and Pensions,Yes,2015
The Pensions Advisory Service,http://www.pensionsadvisoryservice.org.uk,Department for Work and Pensions,Yes,2015
The Pensions Regulator,http://www.thepensionsregulator.gov.uk,Department for Work and Pensions,Yes,2015
Procurement Management Development Scheme,http://www.careersinprocurement.co.uk/,Department for Work and Pensions,No,2015
Remploy Ltd,http://www.remploy.co.uk,Department for Work and Pensions,Yes,2015
Arabic,http://arabic.fco.gov.uk/,Foreign & Commonwealth Office,No,2015
CESG,http://www.cesg.gov.uk/,Foreign & Commonwealth Office,Yes,2015
GCHQ Careers,http://www.gchq-careers.co.uk/,Foreign & Commonwealth Office,Yes,2015
Global conversations,http://blogs.fco.gov.uk/,Foreign & Commonwealth Office,No,2015
Government Communications Headquarters,http://www.gchq.gov.uk/Pages/homepage.aspx,Foreign & Commonwealth Office,Yes,2015
Great Britain China Centre,http://www.gbcc.org.uk/,Foreign & Commonwealth Office,Yes,2015
Human Rights and Democracy 2013-14,http://www.hrdreport.fco.gov.uk/,Foreign & Commonwealth Office,No,2015
Marshall Aid Commemoration Commission,http://www.marshallscholarship.org/,Foreign & Commonwealth Office,Yes,2015
Secret Intelligence Service,http://www.sis.gov.uk/,Foreign & Commonwealth Office,Yes,2015
Westminster Foundation for Democracy,http://www.wfd.org,Foreign & Commonwealth Office,Yes,2015
Wilton Park,http://www.wiltonpark.org.uk,Foreign & Commonwealth Office,Yes,2015
Cyber Streetwise,http://www.cyberstreetwise.com,Home Office,Yes,2015
Daniel Morgan Independent panel,https://www.danielmorganpanel.independent.gov.uk/,Home Office,Yes,2015
Gangmasters Licensing Authority,http://www.gla.gov.uk,Home Office,Yes,2015
HMGCC - Her Majesty's Government Communications Centre,http://www.hmgcc.gov.uk/,Home Office,Yes,2015
Hillsborough Independent Panel,http://hillsborough.independent.gov.uk,Home Office,Yes,2015
Independent Chief Inspector of Borders and Immigration,http://icinspector.independent.gov.uk/,Home Office,No,2015
Independent Inquiry into Child Sexual Abuse,https://childsexualabuseinquiry.independent.gov.uk/,Home Office,Yes,2015
Independent Police Complaint Commission,http://www.ipcc.gov.uk,Home Office,Yes,2015
Independent Reviewer of Terrorism Legislation,http://terrorismlegislationreviewer.independent.gov.uk/,Home Office,Yes,2015
Investigatory Powers Tribunal,http://www.ipt-uk.com/,Home Office,Yes,2015
MI5 (home office),http://www.mi5.gov.uk/,Home Office,Yes,2015
National Crime Agency,http://www.nationalcrimeagency.gov.uk/,Home Office,Yes,2015
Office of Surveillance Commissioners,http://osc.independent.gov.uk,Home Office,Yes,2015
Security Industry Authority,http://www.sia.homeoffice.gov.uk/Pages/home.aspx,Home Office,Yes,2015
Think U Know,http://www.thinkuknow.co.uk,Home Office,Yes,2015
This Is Abuse,http://thisisabuse.direct.gov.uk,Home Office,Yes,2015
WARP,http://www.warp.gov.uk/,Home Office,Yes,2015
Wimbledon and Putney Conservators,http://www.wpcc.org.uk,Home Office,Yes,2015
Centre for the Protection of National Infrastructure (CPNI),http://www.cpni.gov.uk/,Home Office,Yes,2015
HMRC Digital Pilots,http://hmrcdigitalpilots.com/,HM Revenue & Customs,No,2015
The AdjudicatorÕs Office,http://www.adjudicators.gov.uk,HM Revenue & Customs,Yes,2015
Crown Estate,http://www.thecrownestate.co.uk/,HM Treasury,Yes,2015
Financial Conduct Authority,http://www.fca.org.uk/,HM Treasury,No,2015
Financial Services Authority,http://www.fsa.gov.uk/,HM Treasury,No,2015
Financial Services Compensation Scheme,http://www.fscs.org.uk/,HM Treasury,Yes,2015
HM Treasury Careers,http://www.hmtreasurycareers.com/,HM Treasury,No,2015
NS&I,http://www.nsandi.com/,HM Treasury,Yes,2015
Office for Budget Responsibility,http://budgetresponsibility.independent.gov.uk/,HM Treasury,Yes,2015
Office of Fair Trading,http://www2.crw.gov.uk/pr/Default.aspx,HM Treasury,No,2015
Office of Tax Simplification blog,http://www.taxsimplificationblog.wordpress.com/,HM Treasury,No,2015
The Royal Mint,http://www.royalmint.com,HM Treasury,Yes,2015
UK Asset Resolution,http://www.ukar.co.uk,HM Treasury,No,2015
Admiralty,http://www.admiralty.co.uk/,Ministry of Defence,Yes,2015
Armed Forces Day,http://www.armedforcesday.org.uk/,Ministry of Defence,Yes,2015
Army,http://www.army.mod.uk/,Ministry of Defence,Yes,2015
British Forces Germany,http://www.bfgnet.de,Ministry of Defence,Yes,2015
Defence Academy,http://www.da.mod.uk,Ministry of Defence,Yes,2015
Defence Contracts Online,http://www.contracts.mod.uk,Ministry of Defence,No,2015
Defence Support Group,http://www.dsg.mod.uk/,Ministry of Defence,Yes,2015
"Defence, Press and Broadcasting Advisory Committee",http://www.dnotice.org.uk,Ministry of Defence,Yes,2015
HMNAO Astronomical Data Portal,http://astro.ukho.gov.uk/,Ministry of Defence,Yes,2015
"Iraq Fatality Investigations",http://www.iraq-judicial-investigations.org/,Ministry of Defence,No,2015
MoD Blogs,http://www.blogs.mod.uk/,Ministry of Defence,No,2015
Royal Navy,http://www.royalnavy.mod.uk/,Ministry of Defence,Yes,2015
SABRE,http://www.sabre.mod.uk/,Ministry of Defence,No,2015
Service Complaints Commissioner (SCC),http://armedforcescomplaints.independent.gov.uk,Ministry of Defence,Yes,2015
Royal Air Force,http://www.raf.mod.uk/,Ministry of Defence,Yes,2015
Service Prosecuting Authority,http://spa.independent.gov.uk,Ministry of Defence,Yes,2015
The Career Transition Partnership (CTP),http://www.ctp.org.uk,Ministry of Defence,No,2015
UK Hydrographic Office,http://www.ukho.gov.uk,Ministry of Defence,Yes,2015
Azelle Rodney Inquiry,http://azellerodneyinquiry.independent.gov.uk/index.htm,Ministry of Justice,No,2015
Children & Family Court Advisory and Support Service,http://www.cafcass.gov.uk,Ministry of Justice,Yes,2015
Commission on a Bill of Rights,http://www.justice.gov.uk/about/cbr,Ministry of Justice,No,2015
Employment Appeals,http://www.justice.gov.uk/tribunals/employment-appeals,Ministry of Justice,Yes,2015
Hillsborough Inquests,http://hillsboroughinquests.independent.gov.uk/,Ministry of Justice,Yes,2015
HM Inspectorate of Prisons,http://www.justice.gov.uk/about/hmi-prisons,Ministry of Justice,Yes,2015
HM Inspectorate of Probation,http://www.justice.gov.uk/about/hmi-probation,Ministry of Justice,Yes,2015
Independent Advisory Panel on Deaths in Custody,http://iapdeathsincustody.independent.gov.uk/,Ministry of Justice,Yes,2015
"Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms",http://www.justice.gov.uk/about/imb,Ministry of Justice,Yes,2015
Information Commissioner's Office,http://www.ico.gov.uk,Ministry of Justice,Yes,2015
Judicial Appointments Commission,http://jac.judiciary.gov.uk/,Ministry of Justice,Yes,2015
Judicial Committee of the Privy Council,http://jcpc.uk,Ministry of Justice,Yes,2015
Judicial Conduct Investigations Office,http://judicialconduct.judiciary.gov.uk/index.htm,Ministry of Justice,Yes,2015
Judiciary,http://www.judiciary.gov.uk,Ministry of Justice,Yes,2015
Law Commission,http://lawcommission.justice.gov.uk/,Ministry of Justice,Yes,2015
Legal Services Board,http://www.legalservicesboard.org.uk/,Ministry of Justice,Yes,2015
Legal Services Consumer Panel,http://www.legalservicesconsumerpanel.org.uk,Ministry of Justice,Yes,2015
Legislation,http://www.legislation.gov.uk,Ministry of Justice,Yes,2015
Open Justice,http://open.justice.gov.uk,Ministry of Justice,Yes,2015
Prisons and Probation Ombudsman,http://www.ppo.gov.uk,Ministry of Justice,Yes,2015
Sentencing Council for England and Wales,http://sentencingcouncil.judiciary.gov.uk/,Ministry of Justice,Yes,2015
"Special Education Needs and Disability (SEND) Tribunals",http://www.justice.gov.uk/tribunals/send,Ministry of Justice,No,2015
The Legal Ombudsman,http://www.legalombudsman.org.uk/,Ministry of Justice,Yes,2015
The Mark Duggan Inquest,http://dugganinquest.independent.gov.uk/,Ministry of Justice,Yes,2015
The National Archives,http://www.nationalarchives.gov.uk,Ministry of Justice,Yes,2015
Victim's Commissioner,http://www.justice.gov.uk/about/vc,Ministry of Justice,Yes,2015
Victims' Information Service,https://www.victimsinformationservice.org.uk/,Ministry of Justice,Yes,2015
You Be The Judge,http://www.ybtj.justice.gov.uk,Ministry of Justice,No,2015
Advisory Committee on Animal Feeding stuffs,http://acaf.food.gov.uk,Food Standards Agency,Yes,2015
Advisory Committee on Novel Foods and Processes,http://acnfp.food.gov.uk/,Food Standards Agency,Yes,2015
Advisory Committee on the Microbiological Safety of Food,http://acmsf.food.gov.uk/,Food Standards Agency,Yes,2015
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",http://cot.food.gov.uk/,Food Standards Agency,Yes,2015
Food Standards Agency,http://www.food.gov.uk/,Food Standards Agency,Yes,2015
General Advisory Committee on Science,http://gacs.food.gov.uk/,Food Standards Agency,Yes,2015
Connection Vouchers,http://www.connectionvouchers.co.uk,Other,No,2015
Health and Care Professions Council,http://www.hpc-uk.org/,Other,No,2015
Nomis - Official Labour Market Statistics,http://www.nomisweb.co.uk/,Other,Yes,2015
Office for National Statistics,http://www.ons.gov.uk,Other,Yes,2015
Prince of Wales,http://www.princeofwales.gov.uk,Other,Yes,2015
Royal,http://www.royal.gov.uk,Other,Yes,2015
UK Statistics Authority,http://www.statisticsauthority.gov.uk,Other,Yes,2015
Boundary Commission for Northern Ireland,http://www.boundarycommission.org.uk/,Northern Ireland Office,Yes,2015
Northern Ireland Human Rights Commission,http://www.nihrc.org/,Northern Ireland Office,Yes,2015
Parades Commission for Northern Ireland,http://www.paradescommission.org/,Northern Ireland Office,Yes,2015
Boundary Commission for Scotland,http://www.bcomm-scotland.independent.gov.uk/,Scotland Office,Yes,2015
Scottish Boundary Commissions,http://www.scottishboundaries.gov.uk,Scotland Office,Yes,2015
