Organisation,URL,Parent_organisation,Exempt_from_GOVUK,Year
Crown Prosecution Service,http://www.cps.gov.uk/,Attorney Generals Office,No,2015
HM Crown Prosecution Service Inspectorate,http://www.hmcpsi.gov.uk,Attorney Generals Office,Yes,2015
Criminal Justice Inspectorates,http://www.justiceinspectorates.gov.uk,Attorney Generals Office,Yes,2015
Serious Fraud Office,http://www.sfo.gov.uk,Attorney Generals Office,Yes,2015
ACAS,http://www.acas.org.uk,"Department for Business, Innovation & Skills",Yes,2015
Agri-Tech,http://www.agritechuk.org/,"Department for Business, Innovation & Skills",No,2015
Apprenticeships,http://www.apprenticeships.gov.uk,"Department for Business, Innovation & Skills",Yes,2015
British Business Bank,http://www.british-business-bank.co.uk,"Department for Business, Innovation & Skills",Yes,2015
British Business Bank Investments (subsidiary of BBB plc),http://www.bbbinv.co.uk,"Department for Business, Innovation & Skills",Yes,2015
Competition Appeal Tribunal,www.catribunal.org.uk,"Department for Business, Innovation & Skills",Yes,2015
Export Control Organisation,http://blogs.bis.gov.uk/exportcontrol/,"Department for Business, Innovation & Skills",No,2015
Great Business (was Business in You),http://www.greatbusiness.gov.uk,"Department for Business, Innovation & Skills",Yes,2015
Horizon 2020 UK,http://www.h2020uk.org,"Department for Business, Innovation & Skills",No,2015
Independent Complaints Reviewer,http://www.icrev.org.uk/lr_index.shtml,"Department for Business, Innovation & Skills",Yes,2015
Investors In People,http://www.investorsinpeople.co.uk,"Department for Business, Innovation & Skills",Yes,2015
Learndirect,http://www.learndirect.com/,"Department for Business, Innovation & Skills",No,2015
Local Investment Showcase,http://www.localinvestuk.com,"Department for Business, Innovation & Skills",Yes,2015
Manufacturing Advisory Service,http://www.mas.bis.gov.uk/,"Department for Business, Innovation & Skills",No,2015
Manufacturing Advisory Service,http://www.mas.berr.gov.uk/,"Department for Business, Innovation & Skills",No,2015
Met Office,http://www.metoffice.gov.uk,"Department for Business, Innovation & Skills",Yes,2015
Milan Expo 2015,http://www.ukpavilion2015.com,"Department for Business, Innovation & Skills",Yes,2015
National Careers Service,https://nationalcareersservice.direct.gov.uk/Pages/Home.aspx,"Department for Business, Innovation & Skills",Yes,2015
Office for Fair Access,http://www.offa.org.uk,"Department for Business, Innovation & Skills",Yes,2015
Student Loan Repayment,http://www.studentloanrepayment.co.uk,"Department for Business, Innovation & Skills",Yes,2015
Student Loans Company,http://www.slc.co.uk,"Department for Business, Innovation & Skills",Yes,2015
Tech City UK,http://www.techcityuk.com/#!/home,"Department for Business, Innovation & Skills",Yes,2015
The Consumer Rights Bill,http://discuss.bis.gov.uk/consumerrightsbill/,"Department for Business, Innovation & Skills",No,2015
UK Green Investment Bank,http://www.greeninvestmentbank.com,"Department for Business, Innovation & Skills",Yes,2015
UKTI - Open to Export,http://www.opentoexport.com,"Department for Business, Innovation & Skills",Yes,2015
Wave Hub,http://www.wavehub.co.uk/,"Department for Business, Innovation & Skills",Yes,2015
Boundary Commission for England,http://consultation.boundarycommissionforengland.independent.gov.uk/,Cabinet Office,Yes,2015
CERT-UK,http://www.cert.gov.uk,Cabinet Office,Yes,2015
Civil Service Commission,http://civilservicecommission.independent.gov.uk/,Cabinet Office,Yes,2015
Commissioner for Public Appointments,http://publicappointmentscommissioner.independent.gov.uk/,Cabinet Office,No,2015
Data,http://www.data.gov.uk/,Cabinet Office,Yes,2015
Detainee Enquiry,http://www.detaineeinquiry.org.uk/,Cabinet Office,No,2015
European Memoranda,http://europeanmemoranda.cabinetoffice.gov.uk,Cabinet Office,Yes,2015
Great Resources (Great Britain Campaign),http://www.greatbritaincampaign.com/,Cabinet Office,Yes,2015
House of Lords Appointments Commission,http://lordsappointments.independent.gov.uk/,Cabinet Office,Yes,2015
Independent,http://www.independent.gov.uk,Cabinet Office,Yes,2015
"Independent Panel Inquiryinto Child Sexual Abuse",https://childsexualabuseinquiry.independent.gov.uk/,Cabinet Office,Yes,2015
Intelligence and Security Committee,http://isc.independent.gov.uk/,Cabinet Office,Yes,2015
Iraq Inquiry,http://www.iraqinquiry.org.uk/,Cabinet Office,Yes,2015
Lords Whips Office,http://www.lordswhips.org.uk,Cabinet Office,Yes,2015
Northern Futures,http://northernfutures.dialogue-app.com/,Cabinet Office,No,2015
Privy Council Office,http://privycouncil.independent.gov.uk/,Cabinet Office,Yes,2015
Publicity Register,http://publicityregister.coi.gov.uk/,Cabinet Office,No,2015
Red Tape Challenge,http://www.redtapechallenge.cabinetoffice.gov.uk,Cabinet Office,Yes,2015
"SocialInvestmentAwards",https://socialinvestmentawards.org.uk/,Cabinet Office,Yes,2015
The Carr Review,https://carr-review.independent.gov.uk/,Cabinet Office,No,2015
The Smith Commission,http://www.smith-commission.scot/,Cabinet Office,Yes,2015
Help to Buy,http://www.helptobuy.org.uk/,Department for Communities and Local Government,Yes,2015
Housing Ombudsman,http://www.housing-ombudsman.org.uk/,Department for Communities and Local Government,Yes,2015
Infrastructure Planning Commission,http://infrastructure.planningportal.gov.uk,Department for Communities and Local Government,No,2015
Leasehold Advisory Service,http://www.lease-advice.org,Department for Communities and Local Government,No,2015
Local Government Ombudsman,http://www.lgo.org.uk,Department for Communities and Local Government,Yes,2015
Planning Portal / Planning Guidance (on site),http://planningportal.gov.uk,Department for Communities and Local Government,Yes,2015
