"","Unnamed: 0","organisation","service","historical_service_equiv","historical_service_equiv_jb","web_archive_value","other_website_value","final_transactions_value","final_transactions_value_source","note","unique_clicks_2022","govuk_start_page_url","topic","priority","retired","verb","service_type","service_category","excluded","exclusion_comment","send_physical_letters","receive_physical_letters","manual_document_checking","identity_check","unique_clicks_2021","requesting_information","unique_clicks_final","predicted_transactions","transaction_value","RTI","task_count","RTI_perc","rubric_score_manual","org_n","org_name"
"232",317,"Department for Business, Energy & Industrial Strategy","register to order free rapid lateral flow coronavirus tests for your employees",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.gov.uk/get-workplace-coronavirus-tests","Coronavirus",0,TRUE,"Register","Registering","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,0,18563,19.4680993773956,19.4680993773956,NA,NA,NA,NA,18,"Department for Business, Energy & Industrial Strategy"
"233",165,"Department for Education","develop your career in child and family social work",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.develop-child-family-social-work-career.education.gov.uk","Education, training and skills",0,FALSE,"Develop","Requesting information","Information-based",TRUE,NA,NA,NA,NA,NA,0,1,18563,84028.4883552607,84028.4883552607,NA,NA,NA,NA,30,"Department for Education"
"234",166,"Department for Education","dfe developer hub",NA,"x","x",NA,NA,"no value","not present",NA,"https://dfe-developerhub.education.gov.uk","Education, training and skills",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,18563,91176.5288992071,91176.5288992071,NA,NA,NA,NA,30,"Department for Education"
"235",167,"Department for Education","early years child development training",NA,"x","x",NA,NA,"no value","not present",NA,"https://child-development-training.education.gov.uk/","Education, training and skills",0,FALSE,"Access","Booking events and resources","Information-based",TRUE,NA,NA,NA,NA,NA,0,0,18563,35775.1620861162,35775.1620861162,NA,NA,NA,NA,30,"Department for Education"
"236",175,"Department for Education","get an adviser",NA,"x","x",NA,NA,"no value","not present",NA,"https://adviser-getintoteaching.education.gov.uk","Education, training and skills",0,FALSE,"Get","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,18563,134155.533064509,134155.533064509,0.714285714285714,7,85.7142857142857,NA,30,"Department for Education"
"237",183,"Department for Education","publish teacher training courses",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.publish-teacher-training-courses.service.gov.uk","Education, training and skills",0,FALSE,"Publish","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,57116.7711579052,57116.7711579052,1,3,100,NA,30,"Department for Education"
"238",205,"Department for Environment, Food & Rural Affairs","create a bathing water sign",NA,"x","x",NA,NA,"no value","not present",NA,"https://environment.data.gov.uk/bwq/signage/","Environment and countryside",0,FALSE,"Create","Providing information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,18563,11581.4763982416,11581.4763982416,NA,NA,NA,NA,17,"Department for Environment, Food & Rural Affairs"
"239",212,"Department for Environment, Food & Rural Affairs","international waste shipments (iws)",NA,"x","x",NA,NA,"no value","not present",NA,"https://international-waste-shipments.service.gov.uk","Environment and countryside",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,18563,27202.5030193795,27202.5030193795,NA,NA,NA,NA,17,"Department for Environment, Food & Rural Affairs"
"240",218,"Department for Environment, Food & Rural Affairs","report landfill data",NA,"x","x",NA,NA,"no value","not present",NA,"https://report-landfill-data.service.gov.uk/","Environment and countryside",0,FALSE,"Report","Providing information","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,0,18563,8.16071378766867,8.16071378766867,NA,NA,NA,NA,17,"Department for Environment, Food & Rural Affairs"
"241",222,"Department for Environment, Food & Rural Affairs","tide gauge readings",NA,"x","x",NA,NA,"no value","not present",NA,"https://environment.data.gov.uk/flood-monitoring/tidegauge/","Environment and countryside",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,18563,27202.5030193795,27202.5030193795,NA,NA,NA,NA,17,"Department for Environment, Food & Rural Affairs"
"242",34,"Department for Levelling Up, Housing & Communities","e-claims",NA,"x","x",NA,NA,"no value","not present",NA,"https://eclaims.communities.gov.uk/esif-web/","Business and self-employed",0,FALSE,"Access","Requesting information","Special sign-in required",TRUE,"There is not sufficient information on this service webpage for me to access details of the service; there is otherwise not enough information on the service from its title for me to find further information from a gov.uk or Google search",NA,NA,NA,NA,0,1,18563,87921.2302247252,87921.2302247252,NA,NA,NA,NA,9,"Other"
"243",235,"Department for Levelling Up, Housing & Communities","planning.data.gov.uk",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.planning.data.gov.uk","Housing and local services",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,"This website is not a service as much as it is portal/data repository; there are no services to apply for",NA,NA,NA,NA,0,1,18563,206096.716925235,206096.716925235,NA,NA,NA,NA,9,"Other"
"244",239,"Department for Levelling Up, Housing & Communities","submit social housing lettings and sales data (core)",NA,"x","x",NA,NA,"no value","not present",NA,"https://submit-social-housing-lettings-sales-data.service.gov.uk","Housing and local services",0,FALSE,"Submit","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,129107.558262361,129107.558262361,0.666666666666667,6,83.3333333333333,NA,9,"Other"
"245",337,"Department for Levelling Up, Housing & Communities","apply for photo id to vote (called a ‘voter authority certificate’)",NA,"x","x",NA,NA,"no value","not present",NA,"https://voter-authority-certificate.service.gov.uk/start","Citizenship and living in the UK",1,FALSE,"Apply","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,26783.7247692082,26783.7247692082,0.333333333333333,3,66.6666666666667,"MP",9,"Other"
"246",132,"Department for Transport","create fares data",NA,"x","x",NA,NA,"no value","not present",NA,"https://fares-data.dft.gov.uk","Driving and transport",0,FALSE,"Create","Providing information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,18563,113121.761684306,113121.761684306,NA,NA,NA,NA,8,"Other"
"247",3,"Department for Work and Pensions","repay and manage benefit money you owe",NA,"x","x",NA,NA,"no value","not present",NA,"https://www.repay-manage-benefit-owed.service.gov.uk","Benefits",0,FALSE,"Repay","Making a payment","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,64313.7933239359,64313.7933239359,0.142857142857143,7,57.1428571428571,NA,27,"Department for Work and Pensions"
"248",304,"Driver and Vehicle Standards Agency","apply for an emergency driving test if you’re a critical worker",NA,"x","x",NA,NA,"no value",NA,NA,"https://www.gov.uk/apply-emergency-driving-test","Coronavirus",0,TRUE,"Apply","Requesting information","Special sign-in required",TRUE,"This service can only be accessed by an individual's employer - it doesn't appear as though there is an open service available (in other words, there isn't even an 'Apply now' or 'Apply by post' option - it simply says ""If you're eligble and you want a test, talk to your employer. They will need to apply for you'",NA,NA,NA,NA,0,1,18563,185731.492077459,185731.492077459,NA,NA,NA,NA,16,"Driver and Vehicle Standards Agency"
"249",217,"Environment Agency","report a smell at walleys quarry",NA,"x","x",NA,NA,"no value",NA,NA,"https://report-walleys-quarry-smell.service.gov.uk","Environment and countryside",0,FALSE,"Report","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,17040.7796681722,17040.7796681722,1,2,100,NA,18,"Environment Agency"
"250",272,"Foreign, Commonwealth & Development Office","concerned about a british national affected by an overseas crisis",NA,"x","x",NA,NA,"no value",NA,NA,"https://overseas-crisis.service.gov.uk/","Passports, travel and living abroad",0,FALSE,"Access","Providing information","Currently unavailable",TRUE,"The link provided here does not work and I can't seem to find the version of this webpage through a Google/gov.uk search",NA,NA,NA,NA,0,0,18563,15.8967334088684,15.8967334088684,NA,NA,NA,NA,12,"Foreign, Commonwealth & Development Office"
"251",303,"Foreign, Commonwealth & Development Office","apply for a loan to help you return to the uk if you've been unable to travel because of coronavirus",NA,"x","x",NA,NA,"no value",NA,NA,"https://apply-for-coronavirus-overseas-loan.service.gov.uk","Coronavirus",0,FALSE,"Apply","Requesting information","Fully-automated",TRUE,"I cannot access this service in full without answering a set of questions - each answer provides a different outcome for the service, so it is difficult for me to get a handle on the full parameters/characteristics of the service",NA,NA,NA,NA,0,1,18563,64893.9597533014,64893.9597533014,NA,NA,NA,NA,12,"Foreign, Commonwealth & Development Office"
"252",247,"HM Revenue and Customs","check if you need to pay a tariff on goods brought into northern ireland from great britain",NA,"x","x",NA,NA,"no value",NA,NA,"https://www.tax.service.gov.uk/guidance/tariff-on-goods-brought-into-NI/start","Money and tax",0,FALSE,"Check","Requesting information","Fully-automated",TRUE,"This is an information-based service; users are prompted to answer multiple choice questions and based on their responses are given guidance.",NA,NA,NA,NA,0,1,18563,44334.8366185807,44334.8366185807,NA,NA,NA,NA,30,"HM Revenue and Customs"
"253",260,"HM Revenue and Customs","pay a tax penalty",NA,"x","x",NA,NA,"no value",NA,NA,"http://www.tax.service.gov.uk/pay/taxes-penalties-and-enquiry-settlements/choose-a-way-to-pay","Money and tax",0,FALSE,"Pay","Making a payment","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,27773.1862359656,27773.1862359656,0.75,8,87.5,NA,30,"HM Revenue and Customs"
"254",238,"Land Registry","sign your mortgage deed",NA,"x","x",NA,NA,"no value","Seems to be a new service",NA,"https://sign-your-mortgage-deed.landregistry.gov.uk","Housing and local services",0,FALSE,"Sign","Registering","Transactional service",FALSE,NA,"No","No","No","Yes",0,0,18563,129107.558262361,129107.558262361,1,4,100,NA,4,"Other"
"255",49,"Medicines and Healthcare products Regulatory Agency","online medicines seller registry",NA,"x","x",NA,NA,"no value",NA,NA,"https://medicine-seller-register.mhra.gov.uk","Business and self-employed",0,FALSE,"Access","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,1,18563,30719.3826520523,30719.3826520523,NA,NA,NA,NA,1,"Other"
"256",8,"NHS Digital","111 online",NA,"x","x",NA,NA,"no value",NA,NA,"https://111.nhs.uk","Births, deaths, marriages and care",0,FALSE,"Access","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,18563,13798.3474946317,13798.3474946317,0,2,50,NA,4,"Other"
"257",305,"NHS Digital","book or manage your coronavirus vaccination",NA,"x","x",NA,NA,"no value",NA,NA,"https://www.nhs.uk/book-a-coronavirus-vaccination/do-you-have-an-nhs-number","Coronavirus",0,FALSE,"Book","Requesting information","Currently unavailable",TRUE,"The service is no longer operational so I cannot access it",NA,NA,NA,NA,0,1,18563,45.726556259752,45.726556259752,NA,NA,NA,NA,4,"Other"
"258",191,"Ofqual","subject matter specialists",NA,"x","x",NA,NA,"no value",NA,NA,"https://subject-matter-specialists.ofqual.gov.uk/","Education, training and skills",0,FALSE,"Access","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,18563,134155.533064509,134155.533064509,0.6,5,80,NA,2,"Other"
"259",145,"Highways England","pay the dartford crossing charge (dart charge)","Dart Charge: Dartford Crossing payments","Dart Charge: Dartford Crossing payments","x",NA,38225014,"historic_spreadsheet","present on the website but no data.",6852544,"https://www.dartford-crossing-charge.service.gov.uk/Home/Choose","Driving and transport",0,FALSE,"Pay","Making a payment","Fully-automated",TRUE,NA,NA,NA,NA,NA,6852544,0,6852544,3707358.21244677,38225014,NA,NA,NA,NA,1,"Other"
"260",151,"Driver and Vehicle Licensing Agency","register a vehicle",NA,"x","x",NA,NA,"web_archive","Vehicle registration certificate changes",2658,"https://register-vehicle.service.gov.uk/","Driving and transport",0,FALSE,"Register","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,2658,0,2658,52841.0260501296,52841.0260501296,0.666666666666667,6,83.3333333333333,NA,16,"Driver and Vehicle Licensing Agency"
"261",348,"Driver and Vehicle Licensing Agency","view your driving licence information",NA,"x","x",NA,9372957,"no value","JB: exists on web archive but no data. YH: Doesn't exist on web archive; JF taking average of weeks listed x 52",13095804,"https://www.viewdrivingrecord.service.gov.uk/driving-record/licence-number","Driving and transport",1,FALSE,"View","Registering","Fully-automated",TRUE,NA,NA,NA,NA,NA,13095804,0,13095804,5433942.9704102,9372957,NA,NA,NA,NA,16,"Driver and Vehicle Licensing Agency"
"262",201,"Environment Agency","check for flooding",NA,"x","x",NA,9114281,"no value","Flood warnings is included below - YH: Not sure how best to categorise this service. There is a service called 'Flood information service', with a high number of transactions per quarter (1.59m from Oct - Dec 2020, and 1.58m in Jan alone). JF: 5 months listed, taking average x 12.",193213,"https://check-for-flooding.service.gov.uk","Environment and countryside",0,FALSE,"Check","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,193213,159564.952588638,9114281,0,2,50,NA,18,"Environment Agency"
"263",295,"Department for Work and Pensions","check your state pension forecast",NA,"x","x",NA,7711250,"no value","present but no data, YH + JF updated",8399,"https://www.tax.service.gov.uk/check-your-state-pension/","Working, jobs and pensions",0,FALSE,"Check","Requesting information","Special sign-in required",TRUE,"This appears to be an information-based service, but I cannot access the full service without signing into Gov. Gateway and providing answers to a few questions.",NA,NA,NA,NA,0,1,8399,254015.438566294,7711250,NA,NA,NA,NA,27,"Department for Work and Pensions"
"264",336,"Cabinet Office","register to vote",NA,"x","x",NA,5888389,"no value","present on list but no data - YH: come back to this as there is a separate, live performance dashboard (https://www.registertovote.service.gov.uk/performance). I would include in the 'other_website_value' column; using the new dashboard, data from the last year",3430180,"https://www.registertovote.service.gov.uk/register-to-vote/start","Citizenship and living in the UK",1,FALSE,"Register","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,3430180,0,3430180,583407.649447006,5888389,1,6,100,NA,11,"Cabinet Office"
"265",297,"Department for Work and Pensions","find a job",NA,"Universal Jobmatch: accounts created by jobseekers","x",NA,3515162,"historic_spreadsheet","Find a job replaced universal jobmatch. Not present in web data",3432014,"https://www.gov.uk/find-a-job","Working, jobs and pensions",0,FALSE,"Find","Requesting information","Information-based",TRUE,"This is an information-based service",NA,NA,NA,NA,0,1,3432014,2846329.3474207,3515162,NA,NA,NA,NA,27,"Department for Work and Pensions"
"266",110,"HM Courts & Tribunals Service","pay your court fine or maintenance order","Court fines: payments","Court fines: payments","x",NA,1900000,"historic_spreadsheet","present on the website but no data. This value is the most recent (non-digital) historic figure",433472,"https://courtfines.justice.gov.uk/courtfines/pages/preselect.do","Crime, justice and the law",0,FALSE,"Pay","Making a payment","Fully-automated",TRUE,NA,NA,NA,NA,NA,433472,0,433472,565265.912949481,1900000,NA,NA,NA,NA,7,"Other"
"267",172,"Education and Skills Funding Agency","find an apprenticeship","Apprenticeships: applications","Apprenticeships: applications","x",NA,1633731,"historic_spreadsheet","not on the web archive",2208842,"https://www.findapprenticeship.service.gov.uk/apprenticeshipsearch","Education, training and skills",0,FALSE,"Find","Requesting information","Information-based",TRUE,NA,NA,NA,NA,NA,2208842,1,2208842,1411507.5848077,1633731,NA,NA,NA,NA,10,"Education and Skills Funding Agency"
"268",108,"HM Courts & Tribunals Service","make a money claim online","Money claims","Money claims","x",NA,1517654,"historic_spreadsheet","present on the website but no data",87117,"https://www.moneyclaims.service.gov.uk/","Crime, justice and the law",0,FALSE,"Make","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,87117,322549.485477613,1517654,0.333333333333333,12,66.6666666666667,NA,7,"Other"
"269",253,"NHS Business Services Authority","get a prescription prepayment certificate",NA,"Sum of medex, matex and nc1","x",NA,1292118,"historic_spreadsheet","According to the detail on the website this is an aggregation of medex and matex and low income exemption. Have added them all from the historic spreadsheet",105936,"https://services.nhsbsa.nhs.uk/buy-prescription-prepay-certificate/start","Money and tax",0,FALSE,"Get","Requesting a licence or consent","Transactional service",FALSE,NA,"No","No","No","No",0,0,105936,77652.3866242889,1292118,0.666666666666667,6,83.3333333333333,NA,1,"Other"
"270",120,"Department for Transport","apply for or renew a blue badge",NA,"x","x",NA,1117224,"no value","present but no data - YH: come back to this as there is some data on the platform in the form of 'applications' data (https://webarchive.nationalarchives.gov.uk/ukgwa/20210315085236/https://www.gov.uk/performance/blue-badge-digital); Jf taking average of applications for months given x 12",1779596,"https://apply-blue-badge.service.gov.uk/applicant","Driving and transport",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,1779596,0,1779596,2461099.18291568,1117224,0.230769230769231,13,61.5384615384615,NA,8,"Other"
"271",323,"Department for Work and Pensions","apply for new style jobseeker’s allowance","Jobseeker's Allowance: existing claims","x","x",NA,1007037,"no value","Only 90,000 people or so claiming according to the stats. The figure for jobseekers allowance which is available on the spreadsheet has been included in universal credit above. YH + JF: We've added the number based on 'Jobseeker's Allowance: new claims"" in alignment with JB approach to include stats for new claims as opposed to existing ones",20724,"https://www.apply-for-new-style-jsa.dwp.gov.uk","Benefits",1,FALSE,"Apply","Requesting benefit payments or loans","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,20724,46645.7158788891,1007037,NA,NA,NA,NA,27,"Department for Work and Pensions"
"272",364,"UK Visas and Immigration","apply for a standard visitor visa","Visa applications","Visa applications","x",NA,594119,"historic_spreadsheet","this is the value for visa applications divided by 3",2375312,"https://visas-immigration.service.gov.uk/apply-visa-type/visit","Visas and immigration",1,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,2375312,0,2375312,838667.330313999,594119,0.333333333333333,6,66.6666666666667,"LP",6,"Other"
"273",365,"UK Visas and Immigration","apply for a student visa","Visa applications","Visa applications","x",NA,594119,"historic_spreadsheet","this is the value for visa applications divided by 3",476540,"https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/sort/start/student_out_uk","Visas and immigration",1,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,476540,0,476540,324905.619109974,594119,0.333333333333333,6,66.6666666666667,"MP",6,"Other"
"274",363,"UK Visas and Immigration","apply for a skilled worker visa","Visa applications","Visa applications","x",NA,594119,"historic_spreadsheet","this is the value for visa applications divided by 3",262579,"https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/sort/start/skilled_worker_out_uk","Visas and immigration",1,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,262579,0,262579,228535.911980175,594119,0.333333333333333,6,66.6666666666667,"MP",6,"Other"
"275",275,"Foreign, Commonwealth & Development Office","get your document legalised",NA,"Legalisation and Apostille certificate applications","x",NA,482309,"historic_spreadsheet","exists on web archive but no data",253487,"https://www.get-document-legalised.service.gov.uk/select-service","Passports, travel and living abroad",0,FALSE,"Get","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,253487,0,253487,155340.467115034,482309,0.818181818181818,11,90.9090909090909,NA,12,"Foreign, Commonwealth & Development Office"
"276",111,"HM Courts & Tribunals Service","reply to a jury summons","Summons to carry out jury service","Summons to carry out jury service","x",NA,280673,"historic_spreadsheet","present on the website but no data. This is data for all sent out, not replies, but seems a reasonable approximation",184716,"https://reply-jury-summons.service.gov.uk/steps/00-responder-type?clang=en","Crime, justice and the law",0,FALSE,"Reply","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,184716,502670.835483043,280673,0.75,8,87.5,NA,7,"Other"
"277",338,"Legal Aid Agency","apply for legal aid",NA,"Legal aid in civil cases: acts of assistance","x",NA,262277,"historic_spreadsheet","I think this is right - I think this is for civil cases. No data on website",4000,"https://apply-for-legal-aid.service.justice.gov.uk","Crime, justice and the law",1,FALSE,"Apply","Requesting benefit payments or loans","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,4000,52323.7070516574,262277,0.384615384615385,13,69.2307692307692,"MP",2,"Other"
"278",0,"HM Courts & Tribunals Service","appeal a benefit decision",NA,"Social security and child support tribunal claims","x",NA,228622,"historic_spreadsheet","present on website but no data. This doesn't cover all benefits but seems a reasonable approximation.",166877,"http://www.appeal-benefit-decision.service.gov.uk/entry","Benefits",0,FALSE,"Appeal","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,166877,0,166877,235146.322364942,228622,0.333333333333333,9,66.6666666666667,NA,7,"Other"
"279",99,"Ministry of Justice","claim for crown court defence","Legal aid in criminal cases: acts of assistance for higher claims","Legal aid in criminal cases: acts of assistance for higher claims","x",NA,219486,"historic_spreadsheet","I think this is right - higher cases got to crown court. No data on website",4249,"https://claim-crown-court-defence.service.gov.uk/","Crime, justice and the law",0,FALSE,"Claim","Requesting benefit payments or loans","Transactional service",FALSE,NA,NA,NA,NA,NA,4249,0,4249,54222.7015584922,219486,1,7,100,NA,17,"Ministry of Justice"
"280",95,"HM Courts & Tribunals Service","apply for probate","Probate applications","Probate applications","x",NA,200789,"historic_spreadsheet","present on the website but no data.",317453,"https://www.apply-for-probate.service.gov.uk/death-certificate","Crime, justice and the law",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,317453,0,317453,692016.464699109,200789,0.6,10,80,NA,7,"Other"
"281",102,"Ministry of Justice","evict a tenant using accelerated possession","Mortgage and landlord possession claims","Mortgage and landlord possession claims","x",NA,155844,"historic_spreadsheet","No data on website",4084,"https://www.gov.uk/evicting-tenants/accelerated-possession-orders","Crime, justice and the law",0,FALSE,"Evict","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,4084,52969.6063958574,155844,0.75,8,87.5,NA,17,"Ministry of Justice"
"282",184,"Education and Skills Funding Agency","recruit an apprentice",NA,"Apprenticeships: vacancies posted","x",NA,155823,"historic_spreadsheet","not on the web archive",66885,"https://accounts.manage-apprenticeships.service.gov.uk","Education, training and skills",0,FALSE,"Recruit","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,66885,121728.831142267,155823,1,3,100,NA,10,"Education and Skills Funding Agency"
"283",9,"Ministry of Justice","apply for a divorce","Divorce applications","Divorce applications","x",NA,114097,"historic_spreadsheet","No data on website",339123,"https://www.apply-divorce.service.gov.uk/index","Births, deaths, marriages and care",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,339123,0,339123,32645.0399158212,114097,1,7,100,NA,17,"Ministry of Justice"
"284",322,"Department for Work and Pensions","apply for new style employment and support allowance (new style esa)","Employment and Support Allowance: new claims","x","x","92000",92000,"other","23,000 initial WCAs per quarter reported in most recent data release here https://www.gov.uk/government/statistics/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-december-2023/esa-outcomes-of-work-capability-assessments-including-mandatory-reconsiderations-and-appeals-december-2023",282295,"https://www.apply-new-style-employment-support-allowance.service.gov.uk/","Benefits",1,FALSE,"Apply","Requesting benefit payments or loans","Transactional service",FALSE,NA,NA,NA,NA,NA,282295,0,282295,320712.847952798,92000,0.428571428571428,7,71.4285714285714,"MP",27,"Department for Work and Pensions"
"285",94,"Ministry of Justice","appeal against a tax decision","Social security and child support tribunal claims","Minor tribunal claims","x",NA,64593,"historic_spreadsheet","This tribunal was rolled up into minor tribunal claims with a lot of other tribunal types. Make sure to only use this once here. No data on website",5748,"https://appeal-tax-tribunal.service.gov.uk/","Crime, justice and the law",0,FALSE,"Appeal","Requesting benefit payments or loans","Transactional service",FALSE,NA,NA,NA,NA,NA,5748,0,5748,64811.3772614214,64593,1,9,100,NA,17,"Ministry of Justice"
"286",280,"HM Courts & Tribunals Service","appeal against a visa or immigration decision","Immigration and asylum tribunal claims","Immigration and asylum tribunal claims","x",NA,64507,"historic_spreadsheet","present on the website but no data",18563,"https://www.appeal-immigration-asylum-decision.service.gov.uk/start-appeal","Visas and immigration",0,FALSE,"Appeal","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,18563,47830.4361961237,64507,-0.230769230769231,13,38.4615384615385,NA,7,"Other"
"287",268,"Foreign, Commonwealth & Development Office","book consular appointments","Consular services: online requests for appointments","Consular services: online requests for appointments","x",NA,53028,"historic_spreadsheet","exists on web archive but no data",10662,"https://www.book-consular-appointment.service.gov.uk","Passports, travel and living abroad",0,FALSE,"Book","Providing information","Fully-automated",TRUE,"This is a booking service, which is entirely automated",NA,NA,NA,NA,0,0,10662,16262.3997513663,53028,NA,NA,NA,NA,12,"Foreign, Commonwealth & Development Office"
"288",192,"Education and Skills Funding Agency","submit learner data",NA,"Skills Funding Agency (SFA) learning and training: training organisation data returns","x",NA,48248,"historic_spreadsheet","not on the web archive",620,"https://submit-learner-data.service.gov.uk","Education, training and skills",0,FALSE,"Submit","Providing information","Fully-automated",TRUE,NA,NA,NA,NA,NA,0,0,620,5218.52207171829,48248,NA,NA,NA,NA,10,"Education and Skills Funding Agency"
"289",328,"Department for Work and Pensions","claim maternity allowance",NA,"x","x","43760",43760,"other","Figure for ""number of maternity allowance spells starting"", from: https://www.gov.uk/government/statistics/maternity-allowance-quarterly-statistics-march-to-may-2023",15031,"https://www.gov.uk/maternity-allowance","Benefits",1,FALSE,"Claim","Requesting benefit payments or loans","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,15031,56779.7603557107,43760,0.294117647058824,17,64.7058823529412,"MP",27,"Department for Work and Pensions"
"290",320,"Department for Work and Pensions","apply for bereavement support pay","Bereavement Payment: applications","Bereavement Payment: applications","x",NA,42000,"historic_spreadsheet","nothing in web data but yes in historical stats",49588,"https://apply-for-bereavement-support-pay.dwp.gov.uk/apply?lang=en","Benefits",1,FALSE,"Apply","Requesting benefit payments or loans","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,49588,114873.067233243,42000,0.333333333333333,3,66.6666666666667,"MP",27,"Department for Work and Pensions"
"291",319,"Department for Work and Pensions","apply for an access to work grant",NA,"x","x","37710",37710,"other","Taken from https://www.gov.uk/government/statistics/access-to-work-statistics-april-2007-to-march-2022/access-to-work-statistics-april-2007-to-march-2022. That is the number approved rather than total applications",59478,"https://www.get-disability-work-support.service.gov.uk","Benefits",1,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,59478,127891.885157829,37710,0,14,50,"MP",27,"Department for Work and Pensions"
"292",229,"HM Revenue and Customs","check the register of fair rents",NA,"x","x",NA,34400,"no value","On the website but no data. Now at the valuation office agency. There is an entry for fair rent cases but this is something different - YH: Not sure whether to include or not, as the data present doesn't use the word 'transaction', rather uses 'searches per year' - @ 34.4k  per year.",22986,"https://www.tax.service.gov.uk/check-register-fair-rents/search","Housing and local services",0,FALSE,"Check","Requesting information","Fully-automated",TRUE,"This is an information-based service which provides access to a register of info based on the postcode the user inputs",NA,NA,NA,NA,22986,1,22986,233810.200275506,34400,NA,NA,NA,NA,30,"HM Revenue and Customs"
"293",274,"Home Office","get a passport urgently",NA,"Emergency travel document applications","x",NA,30112,"historic_spreadsheet","On website but no data",4341278,"https://www.passportappointment.service.gov.uk/outreach/publicbooking.ofml","Passports, travel and living abroad",0,FALSE,"Get","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,4341278,0,4341278,830926.012037516,30112,0.8,10,90,NA,25,"Home Office"
"294",267,"Foreign, Commonwealth & Development Office","apply for an emergency travel document","Emergency travel document applications","Emergency travel document applications","x",NA,30112,"historic_spreadsheet","exists on web archive but no data",124017,"https://www.apply-emergency-travel-document.service.gov.uk/","Passports, travel and living abroad",0,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,0,0,124017,101859.060739498,30112,0.5,8,75,NA,12,"Foreign, Commonwealth & Development Office"
"295",100,"Office of the Public Guardian","complete the deputy report","Court of Protection applications","Court of Protection applications","x",NA,29711,"historic_spreadsheet","Double checked and this is right. No data on website",3347,"https://complete-deputy-report.service.gov.uk/","Crime, justice and the law",0,FALSE,"Complete","Providing information","Transactional service",FALSE,NA,NA,NA,NA,NA,3347,0,3347,47098.1450442052,29711,0.5,8,75,NA,2,"Other"
