Quarter,Volume
201212,63905000
201303,64006000
201306,64106000
201309,64228000
201312,64351000
201403,64474000
201406,64597000
201409,64725000
201412,64853000
201503,64982000
201506,65110000
201509,65245000
201512,65379000
201603,65514000
201606,65648000
201609,65746000
201612,65844000
201703,65942000
